commit_sha,commit_message,file_name,change_type,log_node,old_log_loc,old_store_name,new_log_loc,new_store_name,old_context_list,new_context_list,ddg_list,static_list
0290bfc35dee73fb534556700554536f1164caaf,"Merge topic 'update-curl'

df7fa47c curl: Disable symbol hiding logic in build for CMake
f8a1ba20 Merge branch 'upstream-curl' into update-curl
93cc249f curl 2016-11-02 (3c561c65)
25d7b1ca curl: Update script to get curl 7.51.0",Utilities/cmcurl/lib/formdata.c,-,"[""188182"", ""True"", ""ExpressionStatement"", ""vsnprintf ( s , sizeof ( s ) , fmt , ap )""]",912,/data/download/CMake/CMake/Kitware_CMake_11_old.cpp,921,/data/download/CMake/CMake/Kitware_CMake_11_new.cpp,"[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""const char *""], ""const char *""], [[""va_list""], ""va_list""], [[""char [ 4096 ]"", ""4096""], ""char [ 4096 ]""]]",[]
0290bfc35dee73fb534556700554536f1164caaf,"Merge topic 'update-curl'

df7fa47c curl: Disable symbol hiding logic in build for CMake
f8a1ba20 Merge branch 'upstream-curl' into update-curl
93cc249f curl 2016-11-02 (3c561c65)
25d7b1ca curl: Update script to get curl 7.51.0",Utilities/cmcurl/lib/mprintf.c,-,"[""452270"", ""True"", ""Parameter"", ""char * * endpos""]",228,/data/download/CMake/CMake/Kitware_CMake_14_old.cpp,230,/data/download/CMake/CMake/Kitware_CMake_14_new.cpp,"[[[""va_stack_t *""]], [[""const char *""]]]","[[[""va_stack_t *""]], [[""const char *""]]]",[],[]
0290bfc35dee73fb534556700554536f1164caaf,"Merge topic 'update-curl'

df7fa47c curl: Disable symbol hiding logic in build for CMake
f8a1ba20 Merge branch 'upstream-curl' into update-curl
93cc249f curl 2016-11-02 (3c561c65)
25d7b1ca curl: Update script to get curl 7.51.0",Utilities/cmcurl/lib/mprintf.c,-,"[""455157"", ""True"", ""ExpressionStatement"", ""dprintf_Pass1 ( format , vto , endpos , ap_save )""]",586,/data/download/CMake/CMake/Kitware_CMake_14_old.cpp,592,/data/download/CMake/CMake/Kitware_CMake_14_new.cpp,"[[[""char *"", ""char *"", ""&"", ""char [ BUFFSIZE ]"", ""2"", ""-"", ""=""]], [[""va_stack_t *""]]]","[[[""char *"", ""char *"", ""&"", ""char [ BUFFSIZE ]"", ""2"", ""-"", ""=""]], [[""va_stack_t *""]]]","[[[""char * [ MAX_PARAMETERS ]"", ""MAX_PARAMETERS""], ""char * [ MAX_PARAMETERS ]""], [[""const char *""], ""const char *""], [[""va_stack_t [ MAX_PARAMETERS ]"", ""MAX_PARAMETERS""], ""va_stack_t [ MAX_PARAMETERS ]""], [[""va_list""], ""va_list""]]",[]
f8a1ba202f51e70510f12f46fe0633ea908d5144,"Merge branch 'upstream-curl' into update-curl

* upstream-curl:
  curl 2016-11-02 (3c561c65)",Utilities/cmcurl/lib/formdata.c,-,"[""1021748"", ""True"", ""ExpressionStatement"", ""vsnprintf ( s , sizeof ( s ) , fmt , ap )""]",912,/data/download/CMake/CMake/Kitware_CMake_19_old.cpp,921,/data/download/CMake/CMake/Kitware_CMake_19_new.cpp,"[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""const char *""], ""const char *""], [[""va_list""], ""va_list""], [[""char [ 4096 ]"", ""4096""], ""char [ 4096 ]""]]",[]
f8a1ba202f51e70510f12f46fe0633ea908d5144,"Merge branch 'upstream-curl' into update-curl

* upstream-curl:
  curl 2016-11-02 (3c561c65)",Utilities/cmcurl/lib/mprintf.c,-,"[""1070204"", ""True"", ""Parameter"", ""char * * endpos""]",228,/data/download/CMake/CMake/Kitware_CMake_22_old.cpp,230,/data/download/CMake/CMake/Kitware_CMake_22_new.cpp,"[[[""va_stack_t *""]], [[""const char *""]]]","[[[""va_stack_t *""]], [[""const char *""]]]",[],[]
f8a1ba202f51e70510f12f46fe0633ea908d5144,"Merge branch 'upstream-curl' into update-curl

* upstream-curl:
  curl 2016-11-02 (3c561c65)",Utilities/cmcurl/lib/mprintf.c,-,"[""1073091"", ""True"", ""ExpressionStatement"", ""dprintf_Pass1 ( format , vto , endpos , ap_save )""]",586,/data/download/CMake/CMake/Kitware_CMake_22_old.cpp,592,/data/download/CMake/CMake/Kitware_CMake_22_new.cpp,"[[[""char *"", ""char *"", ""&"", ""char [ BUFFSIZE ]"", ""2"", ""-"", ""=""]], [[""va_stack_t *""]]]","[[[""char *"", ""char *"", ""&"", ""char [ BUFFSIZE ]"", ""2"", ""-"", ""=""]], [[""va_stack_t *""]]]","[[[""char * [ MAX_PARAMETERS ]"", ""MAX_PARAMETERS""], ""char * [ MAX_PARAMETERS ]""], [[""const char *""], ""const char *""], [[""va_stack_t [ MAX_PARAMETERS ]"", ""MAX_PARAMETERS""], ""va_stack_t [ MAX_PARAMETERS ]""], [[""va_list""], ""va_list""]]",[]
93cc249f3dd7ecd621cd063e4c08bbdb54d971e8,"curl 2016-11-02 (3c561c65)

Code extracted from:

    https://github.com/curl/curl.git

at commit 3c561c657c2f0e553b19115a506592a8bbd744bc (curl-7_51_0).",lib/formdata.c,-,"[""1095404"", ""True"", ""ExpressionStatement"", ""vsnprintf ( s , sizeof ( s ) , fmt , ap )""]",912,/data/download/CMake/CMake/Kitware_CMake_26_old.cpp,921,/data/download/CMake/CMake/Kitware_CMake_26_new.cpp,"[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""va_start"", ""va_list"", ""const char *""]], [[""va_list""]]]","[[[""va_list""], ""va_list""], [[""const char *""], ""const char *""], [[""char [ 4096 ]"", ""4096""], ""char [ 4096 ]""]]",[]
93cc249f3dd7ecd621cd063e4c08bbdb54d971e8,"curl 2016-11-02 (3c561c65)

Code extracted from:

    https://github.com/curl/curl.git

at commit 3c561c657c2f0e553b19115a506592a8bbd744bc (curl-7_51_0).",lib/mprintf.c,-,"[""1143745"", ""True"", ""Parameter"", ""char * * endpos""]",232,/data/download/CMake/CMake/Kitware_CMake_29_old.cpp,234,/data/download/CMake/CMake/Kitware_CMake_29_new.cpp,"[[[""va_stack_t *""]], [[""const char *""]]]","[[[""va_stack_t *""]], [[""const char *""]]]",[],[]
93cc249f3dd7ecd621cd063e4c08bbdb54d971e8,"curl 2016-11-02 (3c561c65)

Code extracted from:

    https://github.com/curl/curl.git

at commit 3c561c657c2f0e553b19115a506592a8bbd744bc (curl-7_51_0).",lib/mprintf.c,-,"[""1146632"", ""True"", ""ExpressionStatement"", ""dprintf_Pass1 ( format , vto , endpos , ap_save )""]",590,/data/download/CMake/CMake/Kitware_CMake_29_old.cpp,596,/data/download/CMake/CMake/Kitware_CMake_29_new.cpp,"[[[""char *"", ""char *"", ""&"", ""char [ BUFFSIZE ]"", ""2"", ""-"", ""=""]], [[""va_stack_t *""]]]","[[[""char *"", ""char *"", ""&"", ""char [ BUFFSIZE ]"", ""2"", ""-"", ""=""]], [[""va_stack_t *""]]]","[[[""char * [ MAX_PARAMETERS ]"", ""MAX_PARAMETERS""], ""char * [ MAX_PARAMETERS ]""], [[""const char *""], ""const char *""], [[""va_stack_t [ MAX_PARAMETERS ]"", ""MAX_PARAMETERS""], ""va_stack_t [ MAX_PARAMETERS ]""], [[""va_list""], ""va_list""]]",[]
095279bc94c81c4076de20474f1d3dd186764388,"Merge topic 'ccmake_fix_print_keys'

5ca4abb2 ccmake: Correctly display edit mode and associated keys
a9562eac ccmake: Add missing spaces to match the previous text length",Source/CursesDialog/cmCursesMainForm.cxx,-,"[""1162198"", ""True"", ""ExpressionStatement"", ""sprintf ( firstLine , \""Page %d of %d\"" , cw -> GetPage ( ) , this -> NumberOfPages )""]",400,/data/download/CMake/CMake/Kitware_CMake_35_old.cpp,395,/data/download/CMake/CMake/Kitware_CMake_35_new.cpp,"[[[""cmCursesWidget *""]], [[""int"", ""cmCursesMainForm :: MIN_WIDTH"", ""<"", ""int"", ""this"", ""InitialWidth"", ""<"", ""int"", ""cmCursesMainForm :: MIN_HEIGHT"", ""<"", ""||"", ""||""]]]","[[[""cmCursesWidget *""]], [[""int"", ""cmCursesMainForm :: MIN_WIDTH"", ""<"", ""int"", ""this"", ""InitialWidth"", ""<"", ""int"", ""cmCursesMainForm :: MIN_HEIGHT"", ""<"", ""||"", ""||""]]]","[[[""cmCursesWidget *"", ""CM_NULLPTR"", ""CM_NULLPTR"", ""=""], ""cmCursesWidget *""], [[""char [ 512 ]"", ""512"", ""char [ 512 ]"", ""\""\"""", ""=""], ""char [ 512 ]""]]","[""\""Page %d of %d\""""]"
5ca4abb27f314ce03fc337514c489e67bfcf0ee5,"ccmake: Correctly display edit mode and associated keys

Specific widgets can implement `PrintKeys` but their effects were hidden
by the main widget `PrintKeys`.  Fix this to give the user a better hint
about the edit mode status.

Closes: #13757",Source/CursesDialog/cmCursesMainForm.cxx,-,"[""1174908"", ""True"", ""ExpressionStatement"", ""sprintf ( firstLine , \""Page %d of %d\"" , cw -> GetPage ( ) , this -> NumberOfPages )""]",400,/data/download/CMake/CMake/Kitware_CMake_36_old.cpp,395,/data/download/CMake/CMake/Kitware_CMake_36_new.cpp,"[[[""cmCursesWidget *""]], [[""int"", ""cmCursesMainForm :: MIN_WIDTH"", ""<"", ""int"", ""this"", ""InitialWidth"", ""<"", ""int"", ""cmCursesMainForm :: MIN_HEIGHT"", ""<"", ""||"", ""||""]]]","[[[""cmCursesWidget *""]], [[""int"", ""cmCursesMainForm :: MIN_WIDTH"", ""<"", ""int"", ""this"", ""InitialWidth"", ""<"", ""int"", ""cmCursesMainForm :: MIN_HEIGHT"", ""<"", ""||"", ""||""]]]","[[[""cmCursesWidget *"", ""CM_NULLPTR"", ""CM_NULLPTR"", ""=""], ""cmCursesWidget *""], [[""char [ 512 ]"", ""512"", ""char [ 512 ]"", ""\""\"""", ""=""], ""char [ 512 ]""]]","[""\""Page %d of %d\""""]"
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testFail.c,+,"[""1191992"", ""True"", ""Statement"", ""\""The version of ctest is not able to handle intentionally failing \""""]",32,/data/download/CMake/CMake/Kitware_CMake_40_old.cpp,19,/data/download/CMake/CMake/Kitware_CMake_40_new.cpp,"[[[""int""]]]","[[[""int""]]]",[],[]
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,+,"[""1194082"", ""True"", ""ExpressionStatement"", ""fprintf ( stdout , \""Poll count reached limit %d.\\n\"" , MAXPOLL )""]",431,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,411,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""int"", ""MAXPOLL"", "">=""]], [[""int""]], [[""int"", ""kwsysProcess_Pipe_Timeout"", ""==""]]]","[[[""int"", ""MAXPOLL"", "">=""]], [[""int""]], [[""int"", ""kwsysProcess_Pipe_Timeout"", ""==""]]]",[],"[""\""Poll count reached limit %d.\\n\""""]"
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1197452"", ""True"", ""BreakStatement"", ""break ;""]",467,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,440,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Starting"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Starting"", ""==""]]]",[],[]
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1197442"", ""True"", ""BreakStatement"", ""break ;""]",469,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,443,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Executing"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Executing"", ""==""]]]",[],[]
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1197432"", ""True"", ""BreakStatement"", ""break ;""]",471,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,446,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Expired"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Expired"", ""==""]]]",[],[]
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1197416"", ""True"", ""ExpressionStatement"", ""printf ( \""Child exited with value = %d\\n\"" , kwsysProcess_GetExitValue ( kp ) )""]",473,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,449,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Exited"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Exited"", ""==""]]]","[[[""kwsysProcess *""], ""kwsysProcess *""]]","[""\""Child exited with value = %d\\n\""""]"
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,+,"[""1193944"", ""True"", ""ExpressionStatement"", ""printf ( \""Child exited with value = %d\\n\"" , kwsysProcess_GetExitValue ( kp ) )""]",475,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,449,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Exited"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Exited"", ""==""]]]","[[[""kwsysProcess *""], ""kwsysProcess *""]]","[""\""Child exited with value = %d\\n\""""]"
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1197385"", ""True"", ""BreakStatement"", ""break ;""]",478,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,454,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Killed"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Killed"", ""==""]]]",[],[]
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1197338"", ""True"", ""BreakStatement"", ""break ;""]",485,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,463,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Disowned"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Disowned"", ""==""]]]",[],[]
88f38a2bb42599561e685dfba956866d857fe518,"Merge topic 'update-kwsys'

95a97a40 Merge branch 'upstream-KWSys' into update-kwsys
773b36e5 KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,+,"[""1193741"", ""True"", ""ExpressionStatement"", ""fprintf ( stderr , \""Poll count is %d, which is less than %d.\\n\"" , poll , MINPOLL )""]",521,/data/download/CMake/CMake/Kitware_CMake_41_old.cpp,494,/data/download/CMake/CMake/Kitware_CMake_41_new.cpp,"[[[""int""]], [[""int"", ""MINPOLL"", ""<""]]]","[[[""int""]], [[""int"", ""MINPOLL"", ""<""]]]","[[[""int""], ""int""]]","[""\""Poll count is %d, which is less than %d.\\n\""""]"
95a97a40e48a0db2b206c4560d6962be3666812c,"Merge branch 'upstream-KWSys' into update-kwsys

* upstream-KWSys:
  KWSys 2016-11-09 (18c65411)",Source/kwsys/testFail.c,+,"[""1211753"", ""True"", ""Statement"", ""\""The version of ctest is not able to handle intentionally failing \""""]",32,/data/download/CMake/CMake/Kitware_CMake_45_old.cpp,19,/data/download/CMake/CMake/Kitware_CMake_45_new.cpp,"[[[""int""]]]","[[[""int""]]]",[],[]
95a97a40e48a0db2b206c4560d6962be3666812c,"Merge branch 'upstream-KWSys' into update-kwsys

* upstream-KWSys:
  KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,+,"[""1213843"", ""True"", ""ExpressionStatement"", ""fprintf ( stdout , \""Poll count reached limit %d.\\n\"" , MAXPOLL )""]",431,/data/download/CMake/CMake/Kitware_CMake_46_old.cpp,411,/data/download/CMake/CMake/Kitware_CMake_46_new.cpp,"[[[""int"", ""MAXPOLL"", "">=""]], [[""int""]], [[""int"", ""kwsysProcess_Pipe_Timeout"", ""==""]]]","[[[""int"", ""MAXPOLL"", "">=""]], [[""int""]], [[""int"", ""kwsysProcess_Pipe_Timeout"", ""==""]]]",[],"[""\""Poll count reached limit %d.\\n\""""]"
95a97a40e48a0db2b206c4560d6962be3666812c,"Merge branch 'upstream-KWSys' into update-kwsys

* upstream-KWSys:
  KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1217213"", ""True"", ""BreakStatement"", ""break ;""]",467,/data/download/CMake/CMake/Kitware_CMake_46_old.cpp,440,/data/download/CMake/CMake/Kitware_CMake_46_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Starting"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Starting"", ""==""]]]",[],[]
95a97a40e48a0db2b206c4560d6962be3666812c,"Merge branch 'upstream-KWSys' into update-kwsys

* upstream-KWSys:
  KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1217203"", ""True"", ""BreakStatement"", ""break ;""]",469,/data/download/CMake/CMake/Kitware_CMake_46_old.cpp,443,/data/download/CMake/CMake/Kitware_CMake_46_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Executing"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Executing"", ""==""]]]",[],[]
95a97a40e48a0db2b206c4560d6962be3666812c,"Merge branch 'upstream-KWSys' into update-kwsys

* upstream-KWSys:
  KWSys 2016-11-09 (18c65411)",Source/kwsys/testProcess.c,-,"[""1217193"", ""True"", ""BreakStatement"", ""break ;""]",471,/data/download/CMake/CMake/Kitware_CMake_46_old.cpp,446,/data/download/CMake/CMake/Kitware_CMake_46_new.cpp,"[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Expired"", ""==""]]]","[[[""kwsysProcess_GetState"", ""kwsysProcess *"", ""kwsysProcess_State_Expired"", ""==""]]]",[],[]
