code,location,file,cdg_node,neighbor_node,context_list,ddg_list,static_list,cluster_index
"bftpd_log ( ""Error getting max users per HOST in bftpd_login.\n"" , 0 )",284:12:7245:7311,/data/download/bftpd/bftpd/login.c,"[[""False"", [16340, ""True"", ""get_maxusers <= INT_MAX"", ""Condition""]], [""True"", [16641, ""True"", ""! home_directory"", ""Condition""]], [""True"", [16630, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16703, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16685, ""True"", ""! getpwnam ( user )"", ""Condition""]]]",[],"[[[""unsigned long"", ""INT_MAX"", ""<=""]], [[""!"", ""char *""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""getpwnam"", ""user""]]]",[],"[""\""Error getting max users per HOST in bftpd_login.\\n\"""", ""0""]",97
"bftpd_log ( ""Login as user '%s' failed. Already logged in %d times."" , maxusers )",272:16:6828:6905,/data/download/bftpd/bftpd/login.c,"[[""True"", [16393, ""True"", ""( maxusers ) && ( maxusers == bftpdutmp_usercount ( user ) )"", ""Condition""]], [""True"", [16641, ""True"", ""! home_directory"", ""Condition""]], [""True"", [16630, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16703, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16685, ""True"", ""! getpwnam ( user )"", ""Condition""]]]",[],"[[[""int""]], [[""int"", ""bftpdutmp_usercount"", ""user"", ""==""]], [[""!"", ""char *""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""getpwnam"", ""user""]]]","[[[""int"", ""unsigned long"", ""=""], ""int""], [[""int"", ""0"", ""=""], ""int""]]","[""\""Login as user '%s' failed. Already logged in %d times.\""""]",134
"bftpd_log ( ""error getting max users (SINGLE USER) in bftpd_login.\n"" , 0 )",267:11:6550:6621,/data/download/bftpd/bftpd/login.c,"[[""False"", [16424, ""True"", ""get_maxusers <= INT_MAX"", ""Condition""]], [""True"", [16641, ""True"", ""! home_directory"", ""Condition""]], [""True"", [16630, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16703, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16685, ""True"", ""! getpwnam ( user )"", ""Condition""]]]",[],"[[[""unsigned long"", ""INT_MAX"", ""<=""]], [[""!"", ""char *""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""getpwnam"", ""user""]]]",[],"[""\""error getting max users (SINGLE USER) in bftpd_login.\\n\"""", ""0""]",97
"bftpd_log ( ""Login as user '%s' failed. Too many users on server.\n"" , user )",259:16:6277:6350,/data/download/bftpd/bftpd/login.c,"[[""True"", [16475, ""True"", ""( maxusers ) && ( maxusers == bftpdutmp_usercount ( \""*\"" ) )"", ""Condition""]], [""True"", [16641, ""True"", ""! home_directory"", ""Condition""]], [""True"", [16630, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16703, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16685, ""True"", ""! getpwnam ( user )"", ""Condition""]]]",[],"[[[""int""]], [[""int"", ""bftpdutmp_usercount"", ""\""*\"""", ""==""]], [[""!"", ""char *""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""getpwnam"", ""user""]]]",[],"[""\""Login as user '%s' failed. Too many users on server.\\n\""""]",134
"bftpd_log ( ""Error getting max users for GLOBAL in bftpd_login.\n"" , 0 )",254:11:6010:6078,/data/download/bftpd/bftpd/login.c,"[[""False"", [16506, ""True"", ""get_maxusers <= INT_MAX"", ""Condition""]], [""True"", [16641, ""True"", ""! home_directory"", ""Condition""]], [""True"", [16630, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16703, ""True"", ""! strcasecmp ( anonymous , \""yes\"" )"", ""Condition""]], [""True"", [16685, ""True"", ""! getpwnam ( user )"", ""Condition""]]]",[],"[[[""unsigned long"", ""INT_MAX"", ""<=""]], [[""!"", ""char *""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""strcasecmp"", ""char *"", ""\""yes\""""]], [[""!"", ""getpwnam"", ""user""]]]",[],"[""\""Error getting max users for GLOBAL in bftpd_login.\\n\"""", ""0""]",97
"bftpd_log ( ""Login as user '%s' failed: Server disabled.\n"" , user )",245:3:5745:5809,/data/download/bftpd/bftpd/login.c,"[[""True"", [16581, ""True"", ""foo [ 0 ] != '\\0'"", ""Condition""]], [""True"", [16587, ""True"", ""strncasecmp ( foo = config_getoption ( \""DENY_LOGIN\"" ) , \""no\"" , 2 )"", ""Condition""]]]",[],"[[[""char *"", ""0"", ""'\\0'"", ""!=""]], [[""strncasecmp"", ""foo"", ""config_getoption"", ""\""DENY_LOGIN\"""", ""="", ""\""no\"""", ""2""]]]",[],"[""\""Login as user '%s' failed: Server disabled.\\n\""""]",9
"bftpd_log ( ""Quitting.\n"" )",102:1:2171:2195,/data/download/bftpd/bftpd/main.c,[],"[["""", [17989, ""True"", ""config_end ( )"", ""ExpressionStatement""]], ["""", [17995, ""True"", ""fclose ( groupfile )"", ""ExpressionStatement""]]]","[[[""config_end""]], [[""fclose"", ""groupfile""]]]",[],"[""\""Quitting.\\n\""""]",10
"bftpd_log ( ""Caught HUP signal. Re-reading config file.\n"" )",126:3:2496:2553,/data/download/bftpd/bftpd/main.c,[],"[["""", [18028, ""True"", ""int sig"", ""Parameter""]], ["""", [18054, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""ENTRY""]]]",[],"[""\""Caught HUP signal. Re-reading config file.\\n\""""]",11
"bftpd_log ( ""Kicked from the server due to control connection timeout.\n"" )",177:8:3883:3955,/data/download/bftpd/bftpd/main.c,"[[""False"", [18291, ""True"", ""alarm_type"", ""Condition""]]]",[],"[[[""alarm_type""]]]",[],"[""\""Kicked from the server due to control connection timeout.\\n\""""]",135
"bftpd_log ( ""Kicked from the server due to data connection timeout.\n"" )",173:8:3676:3745,/data/download/bftpd/bftpd/main.c,"[[""True"", [18291, ""True"", ""alarm_type"", ""Condition""]]]",[],"[[[""alarm_type""]]]",[],"[""\""Kicked from the server due to data connection timeout.\\n\""""]",135
