commit_sha,commit_message,file_name,change_type,log_statement,log_loc,store_name
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,-,"LOG(2) << ""Verified chunk "" << ChunkRange(min, max).toString()",144,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,+,"LOG(2) << ""Verified chunk "" << redact(ChunkRange(min, max).toString())",145,download/mongodb_mongo663.cpp
f5ee90d15c8f7f723049924d6acc804c6790e278,SERVER-26145 Do not fassert at shutdown during move chunk commit,src/mongo/db/s/migration_source_manager.cpp,-,"fassertStatusOK(40137,",392,download/mongodb_mongo664.cpp
f5ee90d15c8f7f723049924d6acc804c6790e278,SERVER-26145 Do not fassert at shutdown during move chunk commit,src/mongo/db/s/migration_source_manager.cpp,+,ErrorCodes::isShutdownError(status.code())) &&,403,download/mongodb_mongo664.cpp
f5ee90d15c8f7f723049924d6acc804c6790e278,SERVER-26145 Do not fassert at shutdown during move chunk commit,src/mongo/db/s/migration_source_manager.cpp,+,"fassertStatusOK(40137,",410,download/mongodb_mongo664.cpp
84f37a114b74032547cf585899d82243a65699ce,"Revert ""SERVER-26145 Do not fassert at shutdown during move chunk commit""

This reverts commit dece96ba0408446ca034a7c897ab890a80d901ef.",src/mongo/db/s/migration_source_manager.cpp,+,"fassertStatusOK(40137,",395,download/mongodb_mongo665.cpp
84f37a114b74032547cf585899d82243a65699ce,"Revert ""SERVER-26145 Do not fassert at shutdown during move chunk commit""

This reverts commit dece96ba0408446ca034a7c897ab890a80d901ef.",src/mongo/db/s/migration_source_manager.cpp,-,"fassertStatusOK(40137,",408,download/mongodb_mongo665.cpp
fe8c8614f53338eac07f4f32addc0b2eb3bdd544,"Revert ""SERVER-17358 Add flag to customize maxLogLine when logging large lines""

This reverts commit 7c6c92e3cd514a156a49ae9e5139ea66d324c004.",src/mongo/db/server_extra_log_context.cpp,-,int getMaxLogSizeKB() {,72,download/mongodb_mongo666.cpp
7c6c92e3cd514a156a49ae9e5139ea66d324c004,SERVER-17358 Add flag to customize maxLogLine when logging large lines,src/mongo/db/server_extra_log_context.cpp,+,int getMaxLogSizeKB() {,74,download/mongodb_mongo667.cpp
aed4f47200abff44605fc39f078601ebb0c316c7,SERVER-26155 Use read concern 'local' for dist lock manager on the config server,src/mongo/s/catalog/replset/dist_lock_catalog_impl.cpp,-,DistLockCatalogImpl::DistLockCatalogImpl(ShardRegistry* shardRegistry),130,download/mongodb_mongo668.cpp
aed4f47200abff44605fc39f078601ebb0c316c7,SERVER-26155 Use read concern 'local' for dist lock manager on the config server,src/mongo/s/catalog/replset/dist_lock_catalog_impl.cpp,+,"DistLockCatalogImpl::DistLockCatalogImpl(ShardRegistry* shardRegistry, bool isLocal)",131,download/mongodb_mongo668.cpp
6350b1f9f11a8f4971f15859426a0c991be39205,"SERVER-25009 when ReplicaSetMonitor::get() fails, report name",src/mongo/client/parallel.cpp,-,"uassert(16388, ""cannot access unknown replica set:"", rsMonitor != nullptr);",413,download/mongodb_mongo669.cpp
6350b1f9f11a8f4971f15859426a0c991be39205,"SERVER-25009 when ReplicaSetMonitor::get() fails, report name",src/mongo/client/parallel.cpp,+,"uassert(16388,",413,download/mongodb_mongo669.cpp
b0f32d915624ec84ff75bca5b6364837708ad035,SERVER-25662: print initial sync time in seconds,src/mongo/db/repl/data_replicator.cpp,-,"log() << ""initial sync done; took "" << _stats.initialSyncEnd - _stats.initialSyncStart",811,download/mongodb_mongo670.cpp
b0f32d915624ec84ff75bca5b6364837708ad035,SERVER-25662: print initial sync time in seconds,src/mongo/db/repl/data_replicator.cpp,+,"log() << ""initial sync done; took """,812,download/mongodb_mongo670.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_external_state_impl.cpp,+,Lock::GlobalWrite globalWrite(txn->lockState());,319,download/mongodb_mongo671.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_external_state_impl.cpp,+,txn->setReplicatedWrites(false);,326,download/mongodb_mongo671.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_external_state_impl.cpp,-,"Lock::DBLock dbWriteLock(txn->lockState(), configDatabaseName, MODE_X);",466,download/mongodb_mongo671.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_external_state_impl.cpp,+,"Lock::DBLock dbWriteLock(txn->lockState(), localDbName, MODE_X);",466,download/mongodb_mongo671.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_external_state_impl.cpp,-,"Lock::DBLock dbWriteLock(txn->lockState(), lastVoteDatabaseName, MODE_X);",504,download/mongodb_mongo671.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_external_state_impl.cpp,+,"Lock::DBLock dbWriteLock(txn->lockState(), localDbName, MODE_X);",504,download/mongodb_mongo671.cpp
80f03c60dfb174636bd9030d5113c1141fee3b30,SERVER-26043: Compact local database after initial sync,src/mongo/db/repl/replication_coordinator_impl.cpp,+,uassertStatusOK(_externalState->runRepairOnLocalDB(txn));,633,download/mongodb_mongo672.cpp
fd19ddff758912365f22813d2ec8c93688676144,SERVER-24527 add test to ensure shard undergoes sharding initialization through setShardVersion,src/mongo/s/catalog/replset/sharding_catalog_manager_impl.cpp,-,"LOG(2) << ""going to insert shardIdentity document into shard: "" << shardType;",839,download/mongodb_mongo673.cpp
fd19ddff758912365f22813d2ec8c93688676144,SERVER-24527 add test to ensure shard undergoes sharding initialization through setShardVersion,src/mongo/s/catalog/replset/sharding_catalog_manager_impl.cpp,+,"LOG(2) << ""going to insert shardIdentity document into shard: "" << shardType;",839,download/mongodb_mongo673.cpp
fd19ddff758912365f22813d2ec8c93688676144,SERVER-24527 add test to ensure shard undergoes sharding initialization through setShardVersion,src/mongo/s/catalog/replset/sharding_catalog_manager_impl.cpp,-,"Shard::CommandResponse::processBatchWriteResponse(commandResponse, &batchResponse);",856,download/mongodb_mongo673.cpp
fd19ddff758912365f22813d2ec8c93688676144,SERVER-24527 add test to ensure shard undergoes sharding initialization through setShardVersion,src/mongo/s/catalog/replset/sharding_catalog_manager_impl.cpp,+,"Shard::CommandResponse::processBatchWriteResponse(commandResponse, &batchResponse);",860,download/mongodb_mongo673.cpp
689940149701364a6beaee7e2d95effb84bcfb31,SERVER-26099 Use separate thread to interrupt migration manager on stepdown,src/mongo/s/balancer/balancer.cpp,+,"LOG(1) << ""Balancer thread terminated"";",252,download/mongodb_mongo674.cpp
dece96ba0408446ca034a7c897ab890a80d901ef,SERVER-26145 Do not fassert at shutdown during move chunk commit,src/mongo/db/s/migration_source_manager.cpp,-,"fassertStatusOK(40137,",392,download/mongodb_mongo675.cpp
dece96ba0408446ca034a7c897ab890a80d901ef,SERVER-26145 Do not fassert at shutdown during move chunk commit,src/mongo/db/s/migration_source_manager.cpp,+,"fassertStatusOK(40137,",408,download/mongodb_mongo675.cpp
be5bbd938a75d5532ed52df03f6e17ef818a3f66,"SERVER-25009 check null ReplicaSetMonitor::get(), connection string",src/mongo/client/parallel.cpp,+,"uassert(16388, ""cannot access unknown replica set:"", rsMonitor != nullptr);",413,download/mongodb_mongo676.cpp
be5bbd938a75d5532ed52df03f6e17ef818a3f66,"SERVER-25009 check null ReplicaSetMonitor::get(), connection string",src/mongo/client/remote_command_targeter_rs.cpp,-,"return fassertStatusOK(28712, ConnectionString::parse(_rsMonitor->getServerAddress()));",60,download/mongodb_mongo677.cpp
be5bbd938a75d5532ed52df03f6e17ef818a3f66,"SERVER-25009 check null ReplicaSetMonitor::get(), connection string",src/mongo/client/remote_command_targeter_rs.cpp,+,return uassertStatusOK(ConnectionString::parse(_rsMonitor->getServerAddress()));,60,download/mongodb_mongo677.cpp
