class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,cluster
588,450,"fprintf(stderr,""deleting directory %s\n"",f->name);","fprintf(FERROR,""deleting directory %s\n"",f->name);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_174.cpp,13,[null],"[null, "" struct file_struct"", null]","[[u'stderr'], [u'FERROR']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_55.cpp,14,"fprintf(stderr,""deleting directory %s\n"",f->name)",[null],"[null, "" struct file_struct"", null]",101
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,13,"fprintf(stderr,""built hash table\n"")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/match.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_4.cpp,18,"fprintf(stderr,""done hash search\n"")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/exclude.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_9.cpp,9,"fprintf(stderr,""clearing exclude list\n"")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_59.cpp,111,"fprintf(stderr,""recv_files finished\n"")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_60.cpp,12,"fprintf(stderr,""send_files starting\n"")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/flist.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_76.cpp,7,"fprintf(stderr,""recv_file_list starting\n"")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_83.cpp,49,"fprintf(stderr,""cmd="")",[null],[null],112
626,243,"fprintf(FERROR,""cmd="");","fprintf(FINFO,""cmd="");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_295.cpp,60,[null],[null],"[[u'FERROR'], [u'FINFO']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_83.cpp,52,"fprintf(stderr,""\n"")",[null],[null],112
592,548,"fprintf(FERROR,""deleting directory %s\n"",f->name);","fprintf(FINFO,""deleting directory %s\n"",f_name(f));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_function_343.cpp,13,[null],"[null, "" struct file_struct"", null]","[[u'FERROR', u'name'], [u'FINFO', u'f_name']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/repos/rsync-1.4.4/rsync.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/rsync/gumtree/rsync_repos_function_55.cpp,7,"fprintf(stderr,""deleting %s\n"",f->name)",[null],"[null, "" struct file_struct"", null]",101
