class,check,variable
135,"[""apr_file_mktemp_ret"", null]","[""apr_file_open_stderr_arg_ret"", null, ""apr_app_initialize_arg_ret"", ""apr_file_mktemp_arg_ret""]"
136,"[""apr_file_open_ret"", null]","[""apr_file_open_stderr_arg_ret"", null, ""apr_app_initialize_arg_ret"", ""apr_file_open_arg_ret""]"
137,"[""strchr_ret"", null]","[""apr_file_open_stderr_arg_ret"", null, ""apr_app_initialize_arg_ret"", ""apr_file_open_arg_ret""]"
1628,"[""check_args_arg_ret"", null]","[""apr_file_open_stderr_arg_ret""]"
138,"[""int"", ""check_args_arg_ret"", null]","[""apr_file_open_stderr_arg_ret""]"
1629,"[""int"", ""check_args_arg_ret"", null]","[""apr_file_open_stderr_arg_ret"", null, ""strcmp_arg_ret""]"
139,"[""apr_file_copy_ret"", null]","[""apr_file_open_stderr_arg_ret"", null, ""apr_app_initialize_arg_ret"", ""apr_file_copy_arg_ret""]"
140,"[""tolower_ret""]","[null, ""char""]"
141,"[""tolower_ret""]","[""atoi_arg_ret""]"
142,"[""tolower_arg"", ""tolower_arg""]","[""atoi_arg_ret""]"
143,"[""ap_pass_brigade_ret"", null]","[null, null, ""ap_pass_brigade_ret"", ""dialup_baton_t"", null]"
144,"[""dialup_send_pulse_ret"", null]","[null, null, ""dialup_send_pulse_ret"", ""dialup_send_pulse_arg_ret"", null, ""dialup_send_pulse_ret""]"
145,"[""ap_meets_conditions_ret"", null]","[null, null, ""ap_meets_conditions_arg_ret""]"
146,"[""dialup_send_pulse_ret"", null, ""dialup_send_pulse_ret"", null]","[null, null, ""ap_meets_conditions_arg_ret""]"
147,"[""DAV_INHERIT_VALUE_arg_ret"", null, null]","[null, null, null]"
148,"[""strcasecmp_ret""]","[null, null, null]"
149,"[""dav_error"", null, null]","[""ap_set_content_type_arg_ret""]"
150,"[""dav_error"", null, null]","[null, ""ap_rprintf_arg_ret""]"
151,"[""dav_get_resource_arg_ret"", null, ""dav_get_depth_ret"", null]","[null, null, ""dav_get_depth_arg_ret""]"
152,"[""dav_get_resource_arg_ret"", null, ""dav_get_depth_ret""]","[null, null, ""dav_get_depth_arg_ret""]"
153,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
154,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret""]","[""apr_text"", null, ""ap_set_content_type_arg_ret""]"
155,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret""]","[null, ""ap_set_content_type_arg_ret""]"
156,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret""]","[null, ""dav_log_err_arg"", ""ap_xml_parse_input_arg_ret""]"
157,"[""dav_find_child_ret"", ""dav_validate_root_arg_ret"", ""dav_handle_err_arg"", ""dav_handle_err_arg""]","[null, ""dav_log_err_arg"", ""ap_xml_parse_input_arg_ret""]"
158,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret"", ""dav_validate_request_arg""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
159,"[""dav_find_child_ret"", ""dav_find_child_ret"", null]","[null, null, ""dav_auto_checkin_arg_ret""]"
160,"[""strcasecmp_ret""]","[null, null, ""ap_discard_request_body_arg"", ""apr_table_get_ret""]"
161,"[""apr_isspace_arg_ret""]","[null, null, ""ap_discard_request_body_arg"", ""apr_table_get_ret""]"
162,"[""apr_psprintf_ret"", ""dav_handle_err_arg""]","[null, null, ""dav_error_response_arg_ret""]"
1634,"[""dav_lookup_uri_ret"", ""dav_handle_err_arg_ret"", null, null]","[null, null, ""dav_lookup_uri_arg_ret"", ""dav_lookup_uri_ret"", ""dav_handle_err_arg_ret"", null]"
163,"[""dav_get_depth_ret""]","[null, null, ""dav_get_depth_arg_ret""]"
164,"[""int"", ""int"", ""dav_get_depth_ret"", ""dav_validate_request_arg""]","[null, null, ""dav_get_depth_arg_ret""]"
165,"[""dav_get_depth_ret"", ""dav_get_depth_ret"", null]","[null, null, ""dav_get_depth_arg_ret""]"
166,"[""dav_add_lock_arg_ret"", ""dav_lock_get_activelock_arg""]","[""ap_rprintf_arg"", ""ap_set_content_type_arg_ret""]"
167,"[""dav_add_lock_arg_ret"", ""dav_lock_get_activelock_arg""]","[""dav_lock_get_activelock_arg_ret""]"
168,"[""apr_table_get_ret"", ""apr_table_get_ret"", ""dav_handle_err_arg""]","[null, null, ""DAV_GET_HOOKS_LOCKS_arg_ret"", ""DAV_GET_HOOKS_LOCKS_arg_ret"", null]"
1630,"[""dav_validate_root_ret""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
1908,"[""dav_find_child_ret"", ""dav_find_child_ret"", ""apr_xml_to_text_arg""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
1632,"[""apr_xml_to_text_arg_ret""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
169,"[""apr_array_push_arg_ret"", null]","[null, null, ""dav_error_response_arg_ret""]"
1631,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret"", ""apr_xml_to_text_arg""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
170,"[""int"", ""dav_get_depth_ret""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
171,"[""ap_xml_parse_input_arg_ret"", ""dav_handle_err_arg""]","[null, ""dav_log_err_arg"", ""ap_xml_parse_input_arg_ret""]"
172,"[""dav_validate_root_ret"", ""ap_xml_parse_input_arg_ret"", ""dav_handle_err_arg""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
