class,class_size,patch_file,old_loc,old_log,new_log,function,function_loc,check,variable,edit
3834,2,httpd-2.0.65_diff_httpd-2.2.0,1106,"ap_log_error(APLOG_MARK, APLOG_INFO, rc, c->base_server,
                         ""SSL handshake interrupted by system ""
                         ""[Hint: Stop button pressed in browser?!]"");","ap_log_cerror(APLOG_MARK, APLOG_INFO, rc, c,
                          ""SSL handshake interrupted by system ""
                          ""[Hint: Stop button pressed in browser?!]"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_853.cpp,64,"[""SSL_get_error_ret"", null]","[""ssl_log_ssl_error_arg"", ""ssl_log_ssl_error_arg"", ""apr_status_t"", ""ssl_filter_io_shutdown_arg_ret"", null]","[[""ap_log_error"", ""base_server""], [""ap_log_cerror""]]"
3836,3,httpd-2.0.65_diff_httpd-2.2.0,867,"fprintf (stderr, ""\n"");",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_893.cpp,440,[null],[null],"[[""fprintf"", ""stderr"", ""\\n""], []]"
3835,2,httpd-2.0.65_diff_httpd-2.2.0,1006,"fprintf (stderr, "" %d"", *++ssp1);",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_896.cpp,579,[null],"[null, ""short""]","[[""fprintf"", ""stderr"", ""%d"", ""*"", ""ssp1""], []]"
3837,2,httpd-2.0.65_diff_httpd-2.2.0,211,"ap_log_error(APLOG_MARK, APLOG_EMERG, rv, NULL, msg);","ap_log_error(APLOG_MARK, APLOG_EMERG, rv, NULL, ""%s"", msg);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1024.cpp,12,"[null, null, null, null]","[null, null, ""apr_proc_mutex_lock_ret"", null, ""char""]","[[], [""%s""]]"
3838,2,httpd-2.0.65_diff_httpd-2.2.0,232,"ap_log_error(APLOG_MARK, APLOG_EMERG, rv, NULL, msg);","ap_log_error(APLOG_MARK, APLOG_EMERG, rv, NULL, ""%s"", msg);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1026.cpp,15,"[null, null, null, null]","[null, null, ""apr_proc_mutex_unlock_ret"", null, ""char""]","[[], [""%s""]]"
3969,4,httpd-2.0.65_diff_httpd-2.2.0,84,"printf(""\n  "");","fprintf(f, ""\n  "");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1082.cpp,32,"[""int"", ""int""]",[],"[[""printf""], [""fprintf"", ""f""]]"
3839,3,httpd-2.0.65_diff_httpd-2.2.0,86,"printf("","");","fprintf(f, "","");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1084.cpp,34,"[""int""]",[],"[[""printf""], [""fprintf"", ""f""]]"
3840,3,httpd-2.0.65_diff_httpd-2.2.0,130,"printf(""%3d"", i-1);",(isprint(i-1);,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1091.cpp,78,"[""isprint_ret""]","[""int""]","[[""printf"", ""%3d""], [""isprint""]]"
3841,2,httpd-2.0.65_diff_httpd-2.2.0,-1,,"fprintf(f, ""%3d-"", i-8);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1104.cpp,105,"[""isprint_ret""]","[""fopen_ret"", ""int""]","[[], [""fprintf"", ""f"", ""%3d"", ""i"", ""8""]]"
3844,3,httpd-2.0.65_diff_httpd-2.2.0,3275,"printf(""%d}"", (code[1] << 8) + code[2]);",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1127.cpp,788,"[""compile_regex_arg_ret"", null, null, null]","[""isprint_arg_ret"", ""isprint_arg_ret""]","[[""printf"", ""%d"", ""code[1]"", ""8"", ""code[2]""], []]"
3842,2,httpd-2.0.65_diff_httpd-2.2.0,3281,(isprint(c = *(++code));,,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1129.cpp,794,"[""compile_regex_arg_ret"", null]","[""check_escape_ret"", ""isprint_arg_ret""]","[[""isprint"", ""c"", ""*"", ""code""], []]"
3843,2,httpd-2.0.65_diff_httpd-2.2.0,3299,(isprint(c = code[3]);,,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1134.cpp,812,"[""compile_regex_arg_ret"", null, null, null]","[""check_escape_ret"", ""isprint_arg_ret""]","[[""isprint"", ""c"", ""code[3]""], []]"
3845,2,httpd-2.0.65_diff_httpd-2.2.0,-1,,"printf(""No named substrings\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1164.cpp,279,"[""pcre_fullinfo_arg_ret""]",[],"[[], [""printf"", ""No"", ""named"", ""substrings\\n""]]"
3846,2,httpd-2.0.65_diff_httpd-2.2.0,-1,,"printf(""Named substrings\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1165.cpp,282,"[""pcre_fullinfo_arg_ret""]",[],"[[], [""printf"", ""Named"", ""substrings\\n""]]"
3847,2,httpd-2.0.65_diff_httpd-2.2.0,1721,"apr_err(""apr_connect()"", rv);","apr_err(""apr_socket_connect()"", rv);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1174.cpp,198,[null],"[""apr_connect_ret""]","[[""apr_connect""], [""apr_socket_connect""]]"
3848,2,httpd-2.0.65_diff_httpd-2.2.0,1783,"printf("" Copyright (c) 1996 Adam Twiss, Zeus Technology Ltd, http://www.zeustech.net/<br>\n"");","printf("" Copyright 1996 Adam Twiss, Zeus Technology Ltd, http://www.zeustech.net/<br>\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1178.cpp,11,[null],[],"[[""c""], []]"
3849,2,httpd-2.0.65_diff_httpd-2.2.0,1784,"printf("" Copyright (c) 2006 The Apache Software Foundation, http://www.apache.org/<br>\n"");","printf("" Copyright 1997-2005 The Apache Software Foundation, http://www.apache.org/<br>\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1179.cpp,12,[null],[],"[[""c"", ""2006""], [""1997"", ""2005""]]"
3850,3,httpd-2.0.65_diff_httpd-2.2.0,336,"apr_file_printf(errfile, ""%s: -c and -D options conflict\n"", argv[0]);","apr_file_printf(errfile, ""%s: -c and -D options conflict"" NL, argv[0]);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1206.cpp,64,"[""int"", null, ""int"", null]","[null, null]","[[""conflict\\n""], [""conflict"", ""NL""]]"
3851,2,httpd-2.0.65_diff_httpd-2.2.0,375,"apr_file_printf(errfile, ""%s: password too long (> %d)\n"",
                argv[0], MAX_STRING_LEN);","apr_file_printf(errfile, ""%s: password too long (> %d)"" NL,
                argv[0], MAX_STRING_LEN);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1211.cpp,103,"[""strlen_ret"", null]","[null, null, null]","[[""\\n""], [""NL""]]"
3852,2,httpd-2.0.65_diff_httpd-2.2.0,444,"apr_file_printf(errfile,""Warning: storing passwords as plain text ""
                        ""might just not work on this platform.\n"");","apr_file_printf(errfile,""Warning: storing passwords as plain text ""
                        ""might just not work on this platform."" NL);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1216.cpp,57,"[""check_args_arg_ret"", null]","[""apr_file_open_stderr_arg_ret""]","[[""\\n""], [""NL""]]"
3815,2,httpd-2.2.0_diff_httpd-2.2.2,-1,,"ap_log_rerror(APLOG_MARK, APLOG_DEBUG, status, r,
                          ""default_handler: ap_pass_brigade returned %i"",
                          status);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1254.cpp,153,"[""ap_pass_brigade_ret"", null, ""ap_meets_conditions_arg_ret"", ""ap_pass_brigade_ret"", null, ""conn_rec"", null]","[null, null, ""ap_pass_brigade_ret"", ""ap_meets_conditions_arg_ret"", ""ap_pass_brigade_ret""]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_DEBUG"", ""status"", ""r"", ""default_handler"", ""ap_pass_brigade"", ""returned"", ""%i"", ""status""]]"
3853,2,httpd-2.2.11_diff_httpd-2.2.12,634,"ap_log_error(APLOG_MARK, APLOG_INFO, 0, r->server,
                         ""Awaiting re-negotiation handshake"");","ap_log_rerror(APLOG_MARK, APLOG_INFO, 0, r,
                          ""Awaiting re-negotiation handshake"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1319.cpp,479,"[""BOOL""]","[null, null, ""ssl_io_buffer_fill_arg_ret"", null]","[[""ap_log_error"", ""server""], [""ap_log_rerror""]]"
3854,2,httpd-2.2.11_diff_httpd-2.2.12,645,"ap_log_error(APLOG_MARK, APLOG_ERR, 0, r->server,
                             ""Re-negotiation handshake failed: ""
                        ""Not accepted by client!?"");","ap_log_rerror(APLOG_MARK, APLOG_ERR, 0, r,
                              ""Re-negotiation handshake failed: ""
                              ""Not accepted by client!?"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1320.cpp,490,"[""SSL_get_state_ret"", null]","[null, null, ""ssl_io_buffer_fill_arg_ret"", null]","[[""ap_log_error"", ""server""], [""ap_log_rerror""]]"
3857,2,httpd-2.2.17_diff_httpd-2.2.18,-1,,"ap_log_rerror(APLOG_MARK, APLOG_ERR, 0, r,
                      ""AuthUserFile not specified in the configuration"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1417.cpp,11,"[""ap_get_module_config_ret"", null]","[null, null, ""request_rec""]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_ERR"", ""0"", ""r"", ""AuthUserFile"", ""not"", ""specified"", ""in"", ""the"", ""configuration""]]"
3858,2,httpd-2.2.17_diff_httpd-2.2.18,591,"ap_log_error(APLOG_MARK,APLOG_ERR, rv, ap_server_conf,
                                 ""Child %d: Encountered too many errors accepting client connections. ""
                                 ""Possible causes: Unknown. ""
                                 ""Try using the Win32DisableAcceptEx directive."", my_pid);","ap_log_error(APLOG_MARK,APLOG_ERR, rv, ap_server_conf,
                                 ""Child %lu: Encountered too many errors accepting client connections. ""
                                 ""Possible causes: Unknown. ""
                                 ""Try using the Win32DisableAcceptEx directive."", my_pid);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1427.cpp,103,"[""int"", null]","[null, null, ""apr_get_netos_error_ret"", null, null]","[[""%d""], [""%lu""]]"
3859,2,httpd-2.2.17_diff_httpd-2.2.18,923,"ap_log_error(APLOG_MARK, APLOG_CRIT, apr_get_os_error(), ap_server_conf,
                         ""Child %d: Failed to create a qwait event."", my_pid);","ap_log_error(APLOG_MARK, APLOG_CRIT, apr_get_os_error(), ap_server_conf,
                         ""Child %lu: Failed to create a qwait event."", my_pid);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1433.cpp,63,"[""CreateEvent_ret""]","[""apr_get_os_error_ret"", null, null, null, null]","[[""%d""], [""%lu""]]"
3860,2,httpd-2.2.17_diff_httpd-2.2.18,1083,"ap_log_error(APLOG_MARK,APLOG_ERR, rv, ap_server_conf,
                     ""Child %d: Failure releasing the start mutex"", my_pid);","ap_log_error(APLOG_MARK,APLOG_ERR, rv, ap_server_conf,
                     ""Child %lu: Failure releasing the start mutex"", my_pid);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1439.cpp,223,"[""apr_proc_mutex_unlock_ret"", null]","[null, null, ""apr_proc_mutex_unlock_ret"", null, null]","[[""%d""], [""%lu""]]"
3861,2,httpd-2.2.17_diff_httpd-2.2.18,384,"ap_log_error(APLOG_MARK, APLOG_CRIT, apr_get_os_error(), ap_server_conf,
                     ""Child %d: Unable to retrieve the scoreboard from the parent"", my_pid);","ap_log_error(APLOG_MARK, APLOG_CRIT, apr_get_os_error(), ap_server_conf,
                     ""Child %lu: Unable to retrieve the scoreboard from the parent"", my_pid);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1447.cpp,51,"[""ReadFile_ret"", ""ReadFile_arg_ret"", ""ReadFile_arg_ret""]","[""apr_get_os_error_ret"", null, null, null, null]","[[""%d""], [""%lu""]]"
3830,2,httpd-2.2.19_diff_httpd-2.2.20,-1,,"ap_log_rerror(APLOG_MARK, APLOG_DEBUG, 0, r,
                      ""Sum of ranges not smaller than file, ignoring."");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1473.cpp,131,"[""apr_off_t"", ""apr_off_t""]","[null, null, ""request_rec""]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_DEBUG"", ""0"", ""r"", ""Sum"", ""of"", ""ranges"", ""not"", ""smaller"", ""than"", ""file"", ""ignoring""]]"
3862,2,httpd-2.2.22_diff_httpd-2.2.23,-1,,"ap_log_error(APLOG_MARK, APLOG_DEBUG, 0, r->server,
                     ""disk_cache: URL %s partial content response not cached"",
                     key);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1488.cpp,10,"[""request_rec"", null, null]","[null, null, ""request_rec"", null, ""apr_pstrdup_arg""]","[[], [""ap_log_error"", ""APLOG_MARK"", ""APLOG_DEBUG"", ""0"", ""r"", ""server"", ""disk_cache"", ""URL"", ""%s"", ""partial"", ""content"", ""response"", ""not"", ""cached"", ""key""]]"
3864,2,httpd-2.2.22_diff_httpd-2.2.23,1496,"ap_log_error(APLOG_MARK, APLOG_ALERT, 0,
                         ap_server_conf,
                         ""No active workers found...""
                         "" Apache is exiting!"");","ap_log_error(APLOG_MARK, APLOG_ALERT, 0,
                         ap_server_conf,
                         ""A resource shortage or other unrecoverable failure ""
                         ""was encountered before any child process initialized ""
                         ""successfully... httpd is exiting!"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1499.cpp,102,"[""int""]","[null, null, ""make_child_arg""]","[[""No"", ""active"", ""workers"", ""found"", ""Apache""], [""A"", ""resource"", ""shortage"", ""or"", ""other"", ""unrecoverable"", ""failure"", ""was"", ""encountered"", ""before"", ""any"", ""child"", ""process"", ""initialized"", ""successfully"", ""httpd""]]"
3970,4,httpd-2.2.23_diff_httpd-2.2.24,556,"ap_rvputs(r, ""<pre>          <a href=\"""", href, ""\"">"", text,
               ""</a></pre>\n"", NULL);","ap_rvputs(r, ""<pre>          <a href=\"""", ehref, ""\"">"", etext,
               ""</a></pre>\n"", NULL);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1508.cpp,11,"[""strcasecmp_ret""]","[""request_rec"", ""strcasecmp_arg_ret"", ""char"", null]","[[""href"", ""text""], [""ehref"", ""etext""]]"
3870,2,httpd-2.2.27_diff_httpd-2.2.29,-1,,"ap_log_rerror(APLOG_MARK, APLOG_WARNING, 0, r,
                              ""Zlib error %d inflating data (%s)"", zRC,
                              ctx->stream.msg);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1560.cpp,346,"[""inflate_ret"", null]","[null, null, ""check_ratio_arg_ret"", ""inflate_ret"", ""check_ratio_arg_ret"", null, null]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_WARNING"", ""0"", ""r"", ""Zlib"", ""error"", ""%d"", ""inflating"", ""data"", ""%s"", ""zRC"", ""ctx"", ""stream"", ""msg""]]"
3871,2,httpd-2.2.2_diff_httpd-2.2.3,1741,"printf("" Copyright 1997-2005 The Apache Software Foundation, http://www.apache.org/<br>\n"");","printf("" Copyright 2006 The Apache Software Foundation, http://www.apache.org/<br>\n"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1606.cpp,12,[null],[],"[[""1997"", ""2005""], [""2006""]]"
3872,2,httpd-2.2.34_diff_httpd-2.3.6,127,"ap_log_rerror(APLOG_MARK, APLOG_ERR, 0, r,
                      ""AuthUserFile not specified in the configuration"");",,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1657.cpp,11,"[""ap_get_module_config_ret"", null]","[null, null, ""request_rec""]","[[""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_ERR"", ""0"", ""r"", ""AuthUserFile"", ""not"", ""specified"", ""in"", ""the"", ""configuration""], []]"
3873,2,httpd-2.2.34_diff_httpd-2.3.6,-1,,"ap_log_rerror(APLOG_MARK, APLOG_ERR, 0, r,
                      ""Authorization of user %s to access %s failed, reason: ""
                      ""user doesn't appear in DBM group file (%s)."", 
                      r->user, r->uri, conf->grpfile);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1723.cpp,38,"[""get_dbm_grp_arg_ret"", null]","[null, null, ""get_dbm_grp_arg_ret"", ""get_dbm_grp_arg_ret"", ""get_dbm_grp_arg_ret"", ""get_dbm_grp_arg_ret"", null, ""ap_get_module_config_ret"", null]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_ERR"", ""0"", ""r"", ""Authorization"", ""of"", ""user"", ""%s"", ""to"", ""access"", ""%s"", ""failed"", ""reason"", ""user"", ""doesn"", ""t"", ""appear"", ""in"", ""DBM"", ""group"", ""file"", ""%s"", ""r"", ""user"", ""r"", ""uri"", ""conf"", ""grpfile""]]"
3874,2,httpd-2.2.34_diff_httpd-2.3.6,-1,,"ap_log_rerror(APLOG_MARK, APLOG_ERR, status, r,
                      ""Authorization of user %s to access %s failed, reason: %s"",
                      r->user, r->uri, reason ? reason : ""unknown"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1748.cpp,28,"[""apr_stat_ret"", null]","[null, null, ""apr_stat_ret"", ""request_rec"", ""request_rec"", null, ""request_rec"", null, ""apr_pstrcat_ret"", ""apr_pstrcat_ret""]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_ERR"", ""status"", ""r"", ""Authorization"", ""of"", ""user"", ""%s"", ""to"", ""access"", ""%s"", ""failed"", ""reason"", ""%s"", ""r"", ""user"", ""r"", ""uri"", ""reason"", ""reason"", ""unknown""]]"
3875,2,httpd-2.2.34_diff_httpd-2.3.6,-1,,"ap_log_rerror(APLOG_MARK, APLOG_ERR, status, r,
                      ""Authorization of user %s to access %s failed, reason: %s"",
                      r->user, r->uri, reason ? reason : ""unknown"");",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/httpd/gumtree/httpd_function_1749.cpp,36,"[""apr_stat_arg_ret"", null, null]","[null, null, ""apr_stat_ret"", ""request_rec"", ""request_rec"", null, ""request_rec"", null, ""apr_pstrcat_ret"", ""apr_pstrcat_ret""]","[[], [""ap_log_rerror"", ""APLOG_MARK"", ""APLOG_ERR"", ""status"", ""r"", ""Authorization"", ""of"", ""user"", ""%s"", ""to"", ""access"", ""%s"", ""failed"", ""reason"", ""%s"", ""r"", ""user"", ""r"", ""uri"", ""reason"", ""reason"", ""unknown""]]"
