file,function,loc,log,check,variable,cluster
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_operate.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_786.cpp,1359,"fputs(""\n"", progressbar.out)","[""metalink_check_hash_arg"", null, null, ""my_setopt_arg_ret"", null]","[""my_setopt_arg_ret"", null]",35
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_operate.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_786.cpp,1411,"warnf(config, ""Error setting extended attributes: %s\n"",
                  strerror(errno))","[""fwrite_xattr_ret""]","[""strerror_ret"", ""my_setopt_arg_ret""]",36
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,21,"warnf(config, ""Header data size exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]",61
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,27,"warnf(config, ""Data size exceeds single call write limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OperationConfig""]",61
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,56,"warnf(config, ""Invalid output struct data for write callback\n"")","[""bool""]","["" struct OperationConfig""]",37
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,66,"warnf(config, ""Remote filename has no length!\n"")","["" struct OutStruct"", null, "" struct OutStruct"", null]","["" struct OperationConfig""]",38
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,75,"warnf(config, ""Refusing to overwrite %s: %s\n"", outs->filename,
              strerror(EEXIST))","[""fopen_ret""]","[""strerror_ret"", "" struct OperationConfig"", "" struct OutStruct"", null]",62
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_wrt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_790.cpp,84,"warnf(config, ""Failed to create the file %s: %s\n"", outs->filename,
            strerror(errno))","[""fopen_ret""]","[""strerror_ret"", "" struct OperationConfig"", "" struct OutStruct"", null]",62
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_827.cpp,11,"puts("""")","[null, null]",[],63
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_827.cpp,23,"puts("""")","[null, null]",[],63
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_help.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_828.cpp,14,"puts(""  <none>"")","[""curl_easy_getinfo_arg_ret""]",[],39
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_parsecfg.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_838.cpp,159,"warnf(operation, ""%s:%d: warning: '%s' uses unquoted white space in""
                "" the line that may cause side-effects!\n"",
                filename, lineno, option)","[""ISSPACE_arg_ret""]","[""getparameter_arg"", ""fopen_arg_ret"", ""int"", ""fprintf_arg_ret""]",40
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_parsecfg.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_838.cpp,218,"warnf(operation, ""%s:%d: warning: '%s' %s\n"",
                filename, lineno, option, reason)","[""getparameter_ret"", null, ""getparameter_ret"", null, ""getparameter_ret"", null, ""getparameter_ret"", null]","[""getparameter_arg_ret"", ""strcmp_arg_ret"", ""int"", ""getparameter_arg_ret"", ""param2text_ret""]",41
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_easysrc.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_847.cpp,16,"warnf(config->current, ""Failed to open %s to write libcurl code!\n"", o)","[""fopen_ret""]","["" struct GlobalConfig"", null, ""fopen_arg_ret""]",42
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_dbg.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_848.cpp,49,"warnf(operation, ""Failed to create/open output"")","[""fprintf_arg""]","["" struct OperationConfig""]",43
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_cb_dbg.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_849.cpp,26,"fputs(""   "", stream)","[""size_t"", ""size_t"", ""size_t""]","[""fprintf_arg_ret""]",67
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,67,"warnf(config, ""Illegally formatted content-type field!\n"")","[""sscanf_ret""]","["" struct OperationConfig""]",44
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,107,"warnf(config, ""skip unknown form field: %s\n"", unknown)","[""get_param_word_ret""]","["" struct OperationConfig"", ""get_param_word_ret""]",45
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,118,"warnf(config, ""Error building form post!\n"")","[""AddMultiFiles_ret"", ""AddMultiFiles_arg_ret""]","["" struct OperationConfig""]",46
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,152,"warnf(config, ""curl_formadd failed!\n"")","[""curl_formadd_ret""]","["" struct OperationConfig""]",64
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,184,"warnf(config, ""curl_formadd failed, possibly the file %s is bad!\n"",
                contp+1)","[""curl_formadd_ret""]","["" struct OperationConfig"", ""strstr_arg_ret""]",47
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,193,"warnf(config, ""curl_formadd failed!\n"")","[""convert_to_network_ret"", ""strlen_ret""]","["" struct OperationConfig""]",48
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,204,"warnf(config, ""curl_formadd failed!\n"")","[""curl_formadd_ret""]","["" struct OperationConfig""]",64
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_formparse.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_851.cpp,213,"warnf(config, ""Illegally formatted input field!\n"")","[""sscanf_ret"", ""strchr_ret"", ""sscanf_ret"", null]","["" struct OperationConfig""]",49
