class,class_size,check,variable
1286,1,"[""proxy_worker""]","[""APLOGNO_ret"", null, null, ""request_rec"", null, null, ""proxy_worker"", null, null, ""proxy_worker"", null, null]"
1287,1,"[""read_heartbeats_ret""]","[""APLOGNO_ret"", null, null, ""read_heartbeats_ret"", ""request_rec"", ""ap_get_module_config_ret"", null]"
1288,1,"[""apr_hash_get_ret""]","[""APLOGNO_ret"", null, null, ""read_heartbeats_ret"", ""request_rec"", ""APR_ARRAY_IDX_ret"", null, null]"
2536,2,"["" storage attach_arg_ret""]","[""APLOGNO_ret"", null, null, ""server_rec""]"
2537,2,"[""proxy_worker""]","[""APLOGNO_ret"", null, null, ""request_rec"", null, null, ""proxy_worker"", null, null, ""proxy_worker"", null, null, ""proxy_worker"", null, null]"
1289,1,"[""inv_field_name_chr_ret"", ""inv_field_name_chr_ret""]","[null, null, null, ""ngh_ctx"", ""inv_field_name_chr_ret"", ""inv_field_name_chr_arg_ret"", ""inv_field_value_chr_arg"", ""inv_field_name_chr_ret""]"
1290,1,"[""inv_field_value_chr_ret"", ""inv_field_value_chr_ret""]","[null, null, null, ""ngh_ctx"", ""inv_field_value_chr_ret"", ""inv_field_name_chr_arg_ret"", ""inv_field_value_chr_arg_ret"", ""inv_field_value_chr_ret""]"
1291,1,"[""APLOG_C_IS_LEVEL_ret""]","[""H2_STRM_MSG_ret"", null, ""int"", ""conn_rec"", ""h2_util_bb_print_ret"", null]"
1292,1,"[""apr_is_empty_table_ret"", ""H2_STRM_MSG_arg_ret"", null]","[""H2_STRM_MSG_ret"", null, null, ""H2_STRM_MSG_arg_ret"", null, ""conn_rec""]"
1293,1,"[""h2_ss_str_arg""]","[""H2_STRM_LOG_ret"", ""APLOGNO_ret"", null, null, ""H2_STRM_LOG_arg"", null, null]"
1294,1,"[""h2_ss_str_arg""]","[""H2_STRM_MSG_ret"", ""h2_ss_str_ret"", null, null, ""on_state_invalid_arg_ret"", null, null]"
1295,1,"[""on_event_ret""]","[""H2_STRM_LOG_ret"", ""APLOGNO_ret"", null, null, ""on_event_arg_ret"", null, null, ""on_state_event_arg""]"
1296,1,"[""on_event_ret"", ""on_state_invalid_arg_ret"", null]","[""H2_STRM_MSG_ret"", null, null, ""on_state_invalid_arg_ret"", null, null, ""on_state_event_arg""]"
1297,1,"[""on_frame_send_ret""]","[""H2_STRM_MSG_ret"", null, null, ""H2_STRM_MSG_arg"", null, null, ""int""]"
1298,1,"[""on_frame_send_ret""]","[""H2_STRM_MSG_ret"", null, null, ""set_policy_for_arg_ret"", null, null, ""int"", ""int""]"
1299,1,"[""on_frame_recv_ret""]","[""H2_STRM_MSG_ret"", null, null, ""H2_STRM_MSG_arg"", null, null, ""int""]"
1300,1,"[""APLOGctrace3_ret""]","[""H2_STRM_MSG_ret"", null, null, ""h2_session"", null, null, ""apr_brigade_write_arg"", ""apr_pstrndup_ret""]"
1301,1,"[""APLOGctrace3_ret""]","[""H2_STRM_MSG_ret"", null, null, ""apr_status_t"", ""h2_session"", null, null, ""apr_brigade_write_arg""]"
1302,1,"[""h2_beam_wait_empty_ret"", null]","[""H2_STRM_MSG_ret"", null, null, ""ap_assert_arg_ret"", null, null]"
1303,1,"[""h2_beam_wait_empty_ret"", null]","[""H2_STRM_MSG_ret"", null, null, ""h2_beam_wait_empty_ret"", ""H2_STRM_MSG_arg_ret"", null, null]"
1304,1,"[""H2_STRM_MSG_arg"", null]","[""H2_STRM_MSG_ret"", null, null, ""H2_STRM_MSG_arg"", null, null, ""h2_request"", null, ""h2_request"", null, ""h2_request"", null, ""h2_request"", null, ""h2_request"", null]"
1305,1,"[""h2_request_rcreate_ret"", null]","[""H2_STRM_LOG_ret"", ""APLOGNO_ret"", null, null, ""h2_request_rcreate_ret"", ""h2_request_rcreate_arg_ret"", ""h2_request_rcreate_arg_ret"", null, ""h2_request_rcreate_arg_ret"", null, ""h2_request_rcreate_arg_ret"", null, ""h2_request_rcreate_arg_ret"", null]"
1306,1,"[""h2_req_ignore_trailer_arg"", ""h2_req_ignore_trailer_arg""]","[""H2_STRM_LOG_ret"", ""APLOGNO_ret"", null, null, null, ""conn_rec""]"
1307,1,"[""h2_request_add_header_arg"", ""h2_session"", null, null]","[""H2_STRM_MSG_ret"", null, null, ""h2_session"", null, ""h2_request_add_header_arg""]"
1308,1,"[""h2_request_add_header_arg"", ""h2_request_add_header_arg"", ""h2_session"", null, null]","[""H2_STRM_MSG_ret"", null, null, ""h2_session"", null, ""h2_request_add_header_arg""]"
1309,1,"[""H2_STRM_MSG_arg_ret"", null, ""h2_session"", null, null]","[""H2_STRM_MSG_ret"", null, null, ""h2_session"", null]"
1310,1,"[""add_trailer_ret"", null]","[""H2_STRM_MSG_ret"", null, null, ""h2_session"", null, ""add_trailer_arg_ret""]"
1311,1,"[""h2_headers""]","[""H2_STRM_MSG_ret"", null, null, ""H2_STREAM_OUT_LOG_arg_ret"", null, null, ""h2_bucket_headers_get_ret"", null]"
1312,1,"[""add_data_ret"", null]","[""H2_STRM_MSG_ret"", null, null, ""conn_rec""]"
1313,1,"[""add_data_arg_ret"", ""add_data_arg_ret""]","[""H2_STRM_MSG_ret"", null, null, ""conn_rec"", null, ""add_data_arg_ret"", ""add_data_arg_ret""]"
1314,1,"[""add_data_arg_ret"", ""add_data_arg_ret""]","[""H2_STRM_MSG_ret"", null, null, ""conn_rec""]"
1315,1,"[""apr_is_empty_array_ret"", ""apr_is_empty_array_arg_ret""]","[""H2_STRM_MSG_ret"", null, null, ""h2_push_collect_update_arg_ret"", null, null, ""apr_is_empty_array_arg_ret"", null]"
1316,1,"[""apr_pool_userdata_get_arg_ret"", null]","[""APLOGNO_ret"", null, null, ""h2_h2_init_arg""]"
1317,1,"[""apr_pool_userdata_get_arg_ret"", null]","[""APLOGNO_ret"", null, null, ""h2_h2_init_arg"", null, null, null, null, null, null, null, null, null, ""nghttp2_version_ret"", ""nghttp2_version_ret"", null]"
1318,1,"[""h2_conn_mpm_type_ret"", null]","[""APLOGNO_ret"", null, null, ""h2_h2_init_arg""]"
1319,1,"[""h2_mpm_supported_ret"", null]","[""APLOGNO_ret"", ""h2_conn_mpm_name_ret"", null, null, ""h2_h2_init_arg""]"
1320,1,"[""h2_conn_child_init_ret"", null]","[""APLOGNO_ret"", null, null, ""h2_conn_child_init_ret"", ""h2_conn_child_init_arg_ret""]"
1321,1,"[""input_consumed_signal_arg_ret"", null, null, ""input_consumed_signal_arg_ret"", null, ""input_consumed_signal_arg_ret"", null, null]","[""H2_STRM_LOG_ret"", ""APLOGNO_ret"", null, null, ""input_consumed_signal_arg_ret"", null]"
