class,class_size,check,variable
120,1,"[""option_ret"", ""option_ret"", ""run_decode_and_handler_arg_ret"", null, null, ""run_decode_and_handler_arg_ret"", null, null, ""int"", ""handler_t""]","[""state_mark_attach_arg_ret"", null]"
121,1,"[""unsigned""]",[]
122,1,"[null, null]",[]
123,1,"[null, null]","[""putchar_arg"", null]"
346,17,"[null, ""putchar_arg"", null]",[]
124,1,"[null, ""putchar_arg"", null]","[""extract_number_and_incr_arg""]"
291,2,"[null, ""putchar_arg"", null]","[""extract_number_and_incr_arg"", ""putchar_arg_ret""]"
125,1,"[null, ""putchar_arg"", null]","[""putchar_arg_ret""]"
126,1,"[null, ""putchar_arg"", null, null]","[null, ""putchar_arg_ret"", null]"
335,7,"[null, ""putchar_arg"", null]","[""extract_number_and_incr_arg_ret"", ""extract_number_and_incr_arg_ret"", null]"
292,3,"[null, ""putchar_arg"", null]","[""unsigned char"", null, ""extract_number_and_incr_arg_ret""]"
127,1,"[null, ""putchar_arg"", null, null]",[]
293,2,"[null, ""putchar_arg"", null]","[""extract_number_and_incr_arg_ret""]"
128,1,"[null, ""putchar_arg""]","[""extract_number_and_incr_arg_ret""]"
129,1,"[null, ""putchar_arg""]","[""extract_number_and_incr_arg_ret"", null]"
130,1,"[null, null, null, null]",[]
344,8,"[null, null, null, null]","[null, null]"
131,1,"[""FIRST_STRING_P_arg"", null]",[]
294,2,"[""mutt_strncmp_arg"", ""sprintf_arg""]","[""mutt_strncmp_arg"", ""fputc_arg""]"
132,1,"[""mutt_strncmp_arg"", ""sprintf_arg""]","[""fputc_arg""]"
336,4,"[""sprintf_arg""]","[""sprintf_arg"", ""fputc_arg_ret""]"
133,1,"[""sprintf_arg""]","[""fputc_arg_ret"", ""sprintf_arg"", ""sprintf_arg"", ""sprintf_arg""]"
134,1,"[""sprintf_arg"", ""sprintf_arg"", ""sprintf_arg"", ""sprintf_arg"", ""sprintf_arg""]","[""sprintf_arg"", ""fputc_arg_ret""]"
135,1,"[""sprintf_arg""]","[null, ""fputc_arg_ret""]"
136,1,"[""mutt_strlen_ret"", ""mutt_strlen_ret""]","[""fputc_arg_ret""]"
137,1,"[""TYPE_arg_ret"", null]","[""fputc_arg_ret"", ""PARAMETER"", null, ""rfc2231_encode_string_ret"", ""sizeof_arg""]"
138,1,"[""TYPE_arg_ret"", null]","[""fputc_arg_ret"", ""TYPE_arg_ret"", null]"
139,1,"[""TYPE_arg_ret"", null, null, null]","[""fputc_arg_ret"", null, ""TYPE_arg_ret"", null]"
140,1,"[""strrchr_arg""]","[""fputc_arg_ret"", ""rfc2231_encode_string_ret"", null]"
141,1,"[""TYPE_arg_ret"", null, null]","[""ENCODING_ret"", ""fputc_arg_ret""]"
142,1,"[""mutt_get_body_charset_arg"", null, null]","[""mutt_write_mime_header_arg"", null]"
143,1,"[""mutt_get_body_charset_arg"", null, null]","[""mutt_write_mime_body_arg_ret"", null]"
144,1,"[""mutt_strcmp_ret"", null, null, ""mutt_get_body_charset_arg"", null, null]","[""ferror_arg_ret""]"
145,1,"[""int"", ""int"", ""mutt_strlen_ret""]","[""fputc_arg""]"
146,1,"[""int"", ""int"", ""mutt_strlen_ret""]","[null, ""fputc_arg_ret""]"
147,1,"[""int"", null, ""size_t""]","[""fputc_arg_ret""]"
148,1,"[""fputc_arg_ret""]","[""char"", ""fputc_arg_ret""]"
149,1,"[""int"", ""mutt_strncmp_ret"", ""mutt_strlen_ret"", ""mutt_strlen_ret"", ""my_width_ret"", ""int""]","[""NONULL_ret"", ""fputc_arg""]"
150,1,"[""NONULL_arg_ret"", ""NONULL_arg_ret""]","[""NONULL_arg_ret"", ""print_val_arg""]"
151,1,"[""mutt_strwidth_ret"", ""mutt_strwidth_ret"", ""fold_one_header_arg"", null, ""mutt_strwidth_ret"", ""fold_one_header_arg""]","[""NONULL_ret"", ""fold_one_header_arg"", ""dprint_arg_ret"", ""dprint_arg_ret""]"
152,1,"[""int"", ""int""]","[""mutt_make_date_ret"", ""mutt_write_address_list_arg""]"
153,1,"[""ENVELOPE"", null, ""int""]","[""mutt_write_address_list_arg"", ""sizeof_arg""]"
154,1,"[""ENVELOPE"", null, ""int""]","[""mutt_write_address_list_arg"", null]"
155,1,"[""ENVELOPE"", null]","[""mutt_write_address_list_arg""]"
337,4,"[""int""]","[""mutt_write_address_list_arg_ret""]"
295,3,"[""ENVELOPE"", null]","[""mutt_write_address_list_arg_ret""]"
156,1,"[""option_ret"", ""int""]","[""mutt_write_address_list_arg_ret""]"
157,1,"[""int""]","[""mutt_write_one_header_arg_ret""]"
158,1,"[""ENVELOPE"", null, ""int""]","[""mutt_write_one_header_arg_ret"", ""ENVELOPE"", null]"
159,1,"[""ENVELOPE"", null]","[""mutt_write_one_header_arg_ret""]"
160,1,"[""int""]","[""fputc_arg_ret""]"
161,1,"[""ENVELOPE"", null]","[""mutt_write_mime_header_arg_ret""]"
162,1,"[""option_ret"", ""int"", ""int"", ""int""]","[""mutt_write_one_header_arg_ret"", null, null]"
163,1,"[""safe_fopen_ret"", ""safe_fopen_ret"", ""mutt_copy_header_arg""]","[""safe_fopen_ret"", ""_mutt_bounce_message_arg_ret""]"
164,1,"[""safe_fopen_ret"", ""safe_fopen_ret"", ""mutt_copy_header_arg""]","[""mutt_make_date_ret"", ""safe_fopen_ret""]"
165,1,"[""safe_fopen_ret"", ""safe_fopen_ret"", ""mutt_copy_header_arg""]","[""safe_fopen_ret"", ""mutt_gen_msgid_ret""]"
166,1,"[""safe_fopen_ret"", ""safe_fopen_ret"", ""mutt_copy_header_arg""]","[""safe_fopen_ret""]"
296,2,"[""int"", ""char""]","[""mx_open_new_message_ret"", null, ""char""]"
167,1,"[""mx_close_mailbox_arg_ret"", null, null, ""mx_close_mailbox_arg_ret"", null, null]","[""mx_open_new_message_ret"", null]"
168,1,"[""int""]","[""mutt_make_date_ret"", ""mx_open_new_message_ret"", null]"
297,2,"[null, null, ""int"", ""mx_open_new_message_arg_ret"", null, null]","[""mx_open_new_message_ret"", null]"
298,3,"[null, null]","[""mx_open_new_message_ret"", null, null]"
169,1,"[""int"", ""mx_open_new_message_arg_ret"", null, ""mx_open_new_message_arg_ret"", null]","[""mx_open_new_message_ret"", null]"
170,1,"[""int"", ""mx_open_new_message_arg_ret"", null, ""mx_open_new_message_arg_ret"", null]","[""mx_open_new_message_ret"", null, null, ""LIST"", null]"
171,1,"[""safe_fopen_ret""]","[""ftello_ret"", ""mx_close_message_arg_ret"", null, null, null]"
172,1,"[""safe_fopen_ret""]","[""mx_close_message_arg_ret"", null, ""int""]"
299,2,"[""fopen_ret"", ""mutt_save_attachment_ret"", null, ""fopen_ret"", null]","[""fopen_ret"", null]"
173,1,"[""mutt_str_replace_arg""]",[null]
174,1,"[""option_ret""]","[""sizeof_arg"", null]"
175,1,"[""grok_ansi_arg_ret""]","[""mbrtowc_arg_ret"", ""grok_ansi_ret""]"
300,2,"[""resolve_color_arg_ret""]","[""mbrtowc_arg_ret""]"
301,2,"[""int""]","[""fputc_arg"", ""int""]"
302,2,"[""int""]","[""fputc_arg"", ""int"", ""int""]"
176,1,"[""fopen_ret"", ""fopen_ret""]","[""mh_mkstemp_arg_ret"", ""mutt_strncmp_arg_ret""]"
303,3,"[""strncmp_ret"", ""mutt_strlen_ret"", ""short""]","[""mh_mkstemp_arg_ret"", ""strncmp_arg_ret"", ""int""]"
177,1,"[""strncmp_ret"", ""mutt_strlen_ret"", ""short""]","[""mh_mkstemp_arg_ret"", ""strncmp_arg_ret""]"
304,3,"[""short"", ""short""]","[""NONULL_ret"", ""mh_mkstemp_arg_ret"", ""int""]"
178,1,"[""mutt_is_multipart_signed_ret""]","[""mutt_get_parameter_ret"", ""mutt_body_handler_arg""]"
179,1,"[""int""]","[""mutt_body_handler_arg_ret""]"
180,1,"[""crypt_write_signed_ret""]","[""TYPE_ret"", ""crypt_smime_verify_one_arg_ret"", ""crypt_fetch_signatures_arg_ret"", ""int"", null]"
305,2,"[""crypt_fetch_signatures_arg_ret""]","[""crypt_smime_verify_one_arg_ret""]"
181,1,"[""mutt_body_handler_arg_ret"", null, null, ""crypt_fetch_signatures_arg_ret""]","[""mutt_body_handler_arg_ret""]"
182,1,"[""getopt_ret""]","[null, ""pgpring_find_candidates_arg""]"
183,1,"[""getenv_ret"", ""getenv_ret""]","[null, ""pgpring_find_candidates_arg""]"
184,1,"[""putchar_arg"", ""putchar_arg"", ""putchar_arg""]","[""putchar_arg_ret""]"
185,1,"[""pgp_sig_t"", null, ""pgp_sig_t"", null, ""pgp_sig_t"", null, ""pgp_sig_t"", null]","[""pgp_sig_t"", null, ""pgp_sig_t"", null, ""pgp_sig_t"", null]"
186,1,"[""pgp_sig_t"", null]","[""pgp_sig_t"", null, ""pgp_sig_t"", null, ""pgp_sig_t"", null]"
338,4,"[""print_fingerprint_arg"", null, null]",[]
187,1,"[""short""]","[""gnupg_trustletter_ret""]"
306,3,"[""short""]",[]
188,1,"[""short""]","[""print_fingerprint_arg"", null, ""print_fingerprint_arg"", null, ""print_fingerprint_arg"", null, ""gmtime_ret"", null, ""gmtime_ret"", null, ""gmtime_ret"", null]"
339,4,"[""safe_symlink_ret""]",[null]
189,1,"[""quadoption_ret"", null, null]","[""char"", ""quadoption_ret"", null]"
190,1,"[""char""]",[]
191,1,"[""REGCOMP_ret""]","[null, "" struct option_t"", null, ""REGEXP"", null]"
192,1,"[""mutt_strncmp_ret""]","[""mutt_strncmp_arg_ret""]"
308,3,"[""mutt_parse_rc_line_ret""]","[null, ""mutt_parse_rc_line_arg_ret"", null]"
307,2,"[""mutt_parse_rc_line_ret""]","[""mutt_parse_rc_line_arg_ret"", null]"
193,1,"[""safe_strdup_ret""]","[""fputc_arg""]"
194,1,"[""getenv_ret"", ""getenv_ret""]","[""fputc_arg""]"
309,2,"[""source_rc_ret""]","[""source_rc_arg_ret"", null, ""fputc_arg""]"
195,1,"[""option_ret"", ""pgp_id_is_valid_ret"", ""pgp_id_is_strong_ret""]","[null, null]"
196,1,"[""getegid_ret"", ""getgid_ret""]","[null, ""getopt_arg""]"
197,1,"[""mutt_atoi_ret"", ""mutt_atoi_arg_ret""]","[null, ""mutt_atoi_arg_ret""]"
198,1,"[""getopt_ret""]","[""mutt_atoi_arg_ret""]"
199,1,"[""getopt_ret""]",[]
200,1,"[""int""]","[""mutt_make_version_ret""]"
340,4,"[""int""]",[]
201,1,"[""mutt_lookup_alias_ret"", ""mutt_lookup_alias_ret""]","[""mutt_add_list_ret"", null]"
202,1,"[""stat_ret"", ""strerror_arg"", null]","[""sizeof_arg_ret"", null]"
203,1,"[""url_parse_mailto_ret""]",[null]
204,1,"[""option_ret"", ""perror_arg"", ""mutt_new_header_ret"", null, null, ""mutt_new_header_ret"", null, null]",[null]
205,1,"[""int""]",[null]
206,1,"[""url_parse_mailto_arg_ret""]","[""url_parse_mailto_arg_ret"", ""mutt_copy_stream_arg_ret""]"
207,1,"[""mutt_make_file_attach_ret""]","[null, ""LIST"", null]"
208,1,"[""option_ret""]","[""mutt_write_rfc822_header_arg_ret""]"
209,1,"[null, ""sscanf_arg_ret"", null]","[""safe_fopen_ret"", ""dup_hash_dec_arg_ret""]"
310,3,[null],"[""YYPRINT_arg""]"
210,1,[null],"[""YYPRINT_arg"", ""yyoverflow_arg_ret""]"
211,1,[null],"[""YYPRINT_arg"", ""int""]"
212,1,[null],"[""YYPRINT_arg"", ""YYPRINT_arg"", ""sizeof_arg"", ""YYTRANSLATE_ret""]"
341,6,[null],[null]
213,1,[null],"[null, ""int"", ""sizeof_arg"", ""YYTRANSLATE_ret""]"
214,1,[null],"[null, ""yyn_arg"", null, ""yyn_arg""]"
215,1,[null],"[null, ""sizeof_arg"", null, ""int""]"
216,1,[null],"[null, ""sizeof_arg"", null, ""yyn_arg""]"
311,2,[null],"[null, ""short""]"
217,1,[null],"[null, ""int"", null, ""YYTRANSLATE_ret""]"
218,1,"[""getopt_ret""]","[null, ""strrchr_ret""]"
219,1,"[""fopen_ret"", ""fopen_ret"", null]","[""strerror_ret"", null, ""strrchr_ret"", null, null]"
220,1,[null],"[null, ""strrchr_ret""]"
221,1,"[""strchr_ret"", ""strchr_ret"", null]","[null, null, ""int"", null]"
222,1,[null],"[null, null, ""int"", ""strcmp_arg""]"
223,1,[null],"[""flush_doc_arg_ret""]"
224,1,[null],"[null, null, ""skip_ws_arg""]"
312,2,[null],"[null, null, ""skip_ws_ret""]"
342,6,[null],"[null, null]"
225,1,[null],"[null, null, ""strchr_arg_ret""]"
226,1,[null],"[null, null, ""short"", ""char""]"
227,1,[null],"[null, null, ""isspace_arg_ret""]"
313,2,"[""strncmp_ret""]","[null, ""strncmp_arg_ret""]"
314,3,"[""conf_char_to_escape_arg_ret""]","[""conf_char_to_escape_arg_ret""]"
315,3,"[""fputc_arg""]","[""fputc_arg""]"
228,1,"[""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null]","[""conf_print_strval_arg"", ""sgml_id_fputs_arg""]"
343,4,"[""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null]","[""conf_print_strval_arg_ret""]"
229,1,"[""type2human_arg"", null]","[""conf_print_strval_arg_ret"", ""sgml_id_fputs_arg"", ""conf_print_strval_arg_ret""]"
230,1,"[null, null]","[""conf_print_strval_arg_ret"", ""sgml_id_fputs_arg""]"
231,1,"[null, null]","[""type2human_ret"", ""conf_print_strval_arg_ret""]"
