class,class_size,check,variable
1605,1,"[""strchr_ret""]","[""uintmax_t_ret"", null]"
1606,1,"[""memcmp_ret"", ""memcmp_arg_ret""]","[""uintmax_t_ret"", null]"
1607,1,"[""strlen_ret"", ""memcpy_arg""]","[""uintmax_t_ret"", null]"
1608,1,"[""verify_object_ret""]","[""sha1_to_hex_ret""]"
1609,1,"[""verify_object_ret""]","[""uintmax_t_ret"", null]"
1610,1,"[""memcmp_ret""]","[""uintmax_t_ret"", null]"
1611,1,"[""strstr_ret"", ""strstr_ret"", ""strpbrk_ret"", ""strpbrk_ret"", ""strstr_ret"", ""strstr_ret"", ""strstr_ret"", ""strstr_ret""]","[""uintmax_t_ret"", null]"
1612,1,"[""strpbrk_arg_ret"", ""uintmax_t_arg_ret""]","[""uintmax_t_ret"", null]"
1613,1,"[""strspn_ret"", ""strspn_ret""]","[""uintmax_t_ret"", null]"
2962,2,"[""uintmax_t_arg_ret""]","[""uintmax_t_ret"", null]"
1614,1,"[""strspn_ret"", ""atoi_ret"", ""uintmax_t_arg_ret"", ""uintmax_t_arg_ret"", ""atoi_arg_ret""]","[""uintmax_t_ret"", null]"
1615,1,"[""verify_tag_ret""]",[]
1616,1,"[""write_sha1_file_ret""]","[""sha1_to_hex_ret""]"
1617,1,"[""die_push_simple_arg""]","[""die_push_simple_arg"", null]"
1618,1,"[""die_push_simple_arg"", null, ""die_push_simple_arg"", null, ""die_push_simple_arg"", null]","[""die_push_simple_arg"", null, ""die_push_simple_arg"", null, ""die_push_simple_arg"", null]"
1619,1,"[""die_push_simple_arg"", null]","[""die_push_simple_arg"", null]"
1620,1,"[""int""]","[""die_push_simple_arg"", null, ""die_push_simple_arg"", null]"
1621,1,"["" struct branch""]","["" struct remote"", null]"
1622,1,"[""transport_set_option_arg_ret"", null]",[null]
1623,1,[null],"[null, ""transport_set_option_arg_ret"", null]"
1624,1,"[""transport_push_ret""]","[""transport_push_arg_ret"", null]"
1625,1,"[""pushremote_get_arg_ret""]","[""pushremote_get_arg_ret""]"
1626,1,"[""pushremote_get_ret""]",[]
2963,2,"[""push_with_options_arg"", null, ""strcmp_arg""]",[]
1627,1,"[""push_with_options_arg"", null, null, null, null]",[]
1628,1,"[""int""]","["" struct option"", null]"
2964,2,"[""strcasecmp_ret"", ""strcasecmp_arg_ret""]","[""strcmp_arg_ret""]"
1629,1,"[""OPT_BOOL_arg_ret"", ""OPT_BOOL_arg_ret"", ""set_push_cert_flags_arg_ret"", null, null]",[]
1630,1,"[""OPT_BOOL_arg_ret"", ""parse_options_ret""]",[]
1631,1,"[""S_ISGITLINK_ret""]","[""strbuf_addf_arg""]"
1632,1,"[""is_staging_gitmodules_ok_ret""]",[]
1633,1,"[""cache_name_pos_ret""]","[""strncmp_arg"", ""cache_name_pos_arg_ret""]"
1634,1,"[""parse_options_ret""]","[""internal_prefix_pathspec_ret""]"
1635,1,"[""OPT__DRY_RUN_arg_ret""]","[""strlen_arg"", ""strncmp_arg""]"
1636,1,"[""OPT__VERBOSE_arg_ret""]","[""strcasecmp_arg_ret""]"
1637,1,"[""OPT_BOOL_arg_ret""]","[""char"", ""strcasecmp_arg_ret"", ""string_list_insert_arg_ret""]"
1638,1,"[""OPT__DRY_RUN_arg_ret"", ""OPT__VERBOSE_arg_ret""]","[""strcasecmp_arg_ret"", ""string_list_insert_arg_ret""]"
1639,1,"[""rename_ret"", "" enum update_mode"", null]","[""rename_arg_ret""]"
3181,4,"[""write_locked_index_ret"", null]",[]
1640,1,"["" struct blame_origin"", null]","[""oid_to_hex_ret""]"
1641,1,"["" struct blame_origin"", null]",[]
1642,1,"["" struct blame_origin"", null, null, null, null]",[]
1643,1,[null],"[""oid_to_hex_ret"", "" struct blame_entry"", null, "" struct blame_entry"", null, "" struct blame_entry"", null]"
1644,1,"[""int""]","[null, "" struct blame_entry"", null, ""int"", "" struct blame_entry"", null, ""int""]"
1645,1,"[""int"", null]","[""format_time_ret"", ""utf8_strwidth_arg"", "" struct blame_entry"", null, ""int""]"
