class,class_size,check,variable
370,1,"[""SSL_CTX_use_certificate_chain_file_ret"", "" ctx get_ret""]","["" Security ErrorString_ret"", ""SSL_CTX_use_certificate_chain_file_arg_ret""]"
371,1,"[""SSL_CTX_use_PrivateKey_file_ret"", "" ctx get_ret""]","["" Security ErrorString_ret"", ""SSL_CTX_use_PrivateKey_file_arg_ret""]"
372,1,"[""SSL_CTX_check_private_key_ret"", "" ctx get_ret""]","["" Security ErrorString_ret"", ""SSL_CTX_use_certificate_chain_file_arg_ret"", ""SSL_CTX_use_PrivateKey_file_arg_ret""]"
373,1,"[""xisdigit_ret""]","[""strtol_arg_ret""]"
374,1,"[""xisdigit_ret""]","["" TheSslErrorShortcuts find_arg_ret""]"
375,1,"["" A valid_ret""]","["" Acl Make_ret"", null]"
376,1,"[""hier_code"", null]","["" ConfigParser strtokFile_ret""]"
377,1,"["" errors empty_ret""]",[]
378,1,"["" ranges empty_ret""]",[]
379,1,"[""vsnprintf_ret""]","[null, ""fflush_arg""]"
380,1,"[""getopt_ret""]","[null, ""usage_arg_ret"", ""getopt_ret""]"
381,1,"[""fopen_arg"", ""strtok_arg""]","[null, ""usage_arg_ret""]"
382,1,"[""fopen_ret""]","[""xstrerr_ret"", null, ""usage_arg_ret"", ""fopen_arg_ret""]"
383,1,"[""strchr_ret"", ""strchr_ret"", ""strtok_arg""]","[null, ""usage_arg_ret"", ""sizeof_arg""]"
384,1,"[""strchr_ret"", ""strchr_ret"", ""strtok_arg""]","[null, ""usage_arg_ret"", ""strchr_arg""]"
926,4,"[""char""]",[null]
958,8,"[""strcmp_ret""]","[null, null, ""strcmp_arg_ret""]"
927,4,"[""char""]","[null, null]"
928,4,"[""atoi_ret""]",[null]
385,1,"[""ldap_set_option_arg"", null]","[null, ""ldap_set_option_arg""]"
929,4,"[""char""]","[null, null, ""char""]"
386,1,"[null, null]","[null, null, null]"
940,5,"[null, null]","[null, null]"
968,24,"[null, null]",[null]
827,2,"[""GetProcAddress_ret"", ""GetProcAddress_ret"", null, ""strtok_arg""]","[null, null]"
387,1,"[""strchr_ret""]","[null, ""char"", ""sizeof_arg""]"
388,1,"[""strchr_ret""]","[null, ""char"", ""strchr_arg""]"
389,1,"[""ldap_initialize_ret"", null]","[null, ""char"", ""ldap_initialize_arg_ret""]"
930,4,"[""ldapssl_client_init_ret"", null, null]","[null, null]"
390,1,"[""ldapssl_init_ret"", ""ldapssl_init_ret"", ""ldap_start_tls_s_arg""]","[null, ""ldapssl_init_arg_ret"", ""atoi_ret""]"
391,1,"[""ldap_init_ret"", ""ldap_init_ret"", ""ldap_start_tls_s_arg""]","[null, ""HLP_MSG_ret"", ""ldap_init_arg_ret"", ""atoi_ret""]"
392,1,"[""ldap_set_option_ret"", null]","[null, ""HLP_MSG_ret"", ""ldap_set_option_arg_ret""]"
880,3,"[""ldap_set_option_arg_ret"", null]",[null]
393,1,"[""ldap_start_tls_s_ret"", null]","[null, ""HLP_MSG_ret""]"
394,1,"[""ldap_simple_bind_s_ret"", null]","[""ldap_err2string_ret"", null, null, ""HLP_MSG_ret""]"
395,1,"[""char""]","[null, ""char""]"
931,4,"[""fopen_ret"", ""fopen_ret""]","[null, null, ""fopen_arg_ret""]"
932,4,"[""fgets_ret""]","[null, null, ""fopen_arg_ret""]"
882,3,"[""xstrdup_ret""]","[null, null]"
396,1,"[""NetServerGetInfo_ret"", null]","[null, null]"
397,1,"[""NetGetDCName_ret"", null]","[null, null, ""debug_arg""]"
398,1,"[""NetUserGetGroups_ret"", null]","[null, null]"
399,1,"[""NetGetDCName_ret"", null]","[null, null, null]"
828,2,"[""getopt_ret""]","[null, null, ""getopt_ret""]"
829,2,"[""GetDomainName_ret"", ""GetDomainName_ret"", ""strtok_arg""]","[null, ""strrchr_ret""]"
400,1,"[""strtok_ret"", ""strtok_ret"", ""strtok_arg""]","[null, ""unsigned int"", ""fopen_arg_ret""]"
401,1,"[""strtok_ret"", ""strtok_ret"", null]","[null, ""unsigned int"", ""fopen_arg_ret""]"
402,1,"[""getpwnam_ret"", ""getpwnam_ret"", null]","[null, ""getpwnam_arg_ret""]"
403,1,"[""getgrnam_ret"", ""getgrnam_ret"", null]","[null, ""getgrnam_arg_ret""]"
830,2,"[""xisprint_ret""]","[null, null]"
831,2,"[null, ""int""]","[null, null, null]"
404,1,"[""strchr_ret"", ""strchr_ret"", ""strtok_arg""]","[null, null, ""sizeof_arg""]"
405,1,"[""strchr_ret"", ""strchr_ret"", ""strtok_arg""]","[null, null, ""strchr_arg""]"
406,1,"[""strchr_ret"", ""strtok_arg""]","[null, null, ""fgets_arg""]"
407,1,"[""strchr_ret"", ""strtok_arg""]","[null, null, ""strchr_arg""]"
408,1,"["" db_env open_ret""]","[null, null, "" db open_arg""]"
409,1,"["" db open_ret""]","[null, null, "" db open_arg""]"
410,1,"["" db open_ret""]","[null, null, null]"
411,1,"["" db get_arg_ret"", null, ""sizeof_arg""]","[null, null, ""char""]"
412,1,"[""strtok_ret"", null]","[null, null]"
933,4,"[""int""]","[""strtok_ret""]"
413,1,"[""session_active_ret""]","[""strtok_ret""]"
971,49,"[""getopt_ret""]",[null]
414,1,[null],"[null, null, ""debug_arg"", ""debug_arg_ret"", ""int""]"
415,1,[null],"[null, null, ""debug_arg"", ""debug_arg_ret"", ""unsigned int""]"
416,1,"["" repl Stats_arg""]","["" repl Stats_arg"", "" repl Stats_arg"", null]"
934,4,"[null, null]","[""StoreEntry""]"
417,1,"["" pipeline front_ret"", null, null, null, null]","[""Must_arg""]"
418,1,"["" Http StreamPointer"", null, null, null, null]","[""HttpReply""]"
834,3,"["" pipeline front_ret"", null, null, null, null]","[""HttpReply""]"
833,2,"["" pipeline front_ret"", null, null, null, null]",[]
419,1,"[""checkDataConnPost_ret""]",[]
420,1,"["" pipeline front_ret"", ""socketState_ret""]",[]
421,1,"["" pipeline front_ret"", ""CommIoCbParams"", null]",[]
422,1,"["" Ssl generateUntrustedCert_arg""]","["" s toUrl_ret"", null, null, null, null]"
423,1,[null],"["" s toUrl_ret"", null, null, null, null]"
424,1,"["" clientCA get_ret"", null]",[null]
425,1,"["" secure createStaticServerContext_ret""]","["" s toUrl_ret"", null, null, null, null]"
426,1,"[""clientHttpRequestStatus_ret""]",[]
427,1,"[""socketState_ret"", null, null]",[]
835,2,"[""socketState_ret"", null, null, null]",[]
428,1,"["" http request range specs size_ret""]","[""SQUIDSTRINGPRINT_ret"", ""httpHeaderAddContRange_arg_ret"", null, null, null, null]"
941,7,"[""getopt_ret""]","[null, ""getopt_ret""]"
429,1,"[""strtoll_arg_ret""]",[null]
430,1,"[""strtoll_arg_ret""]","[null, null, ""strtoll_ret""]"
431,1,"[""mkdir_ret""]",[]
432,1,"[""open_ret""]",[]
836,2,"[""write_ret"", null]",[]
433,1,"[""ftruncate_ret"", ""maxSize_ret""]",[]
434,1,"["" DiskIOModule Find_ret"", null, "" DiskIOModule Find_ret""]",[]
935,4,"[""GetInteger_ret""]",[]
435,1,"[null, null]","[""StoreEntry"", null, null, null, null]"
436,1,"[null, null]","[""StoreEntry"", null, null]"
437,1,"[""static_cast_arg""]",[]
438,1,"["" theFile error_ret""]","[""xstrerr_ret"", null]"
439,1,"[null, ""entryLimitActual_ret""]","["" stats dump_arg"", "" map entryCount_ret"", "" map entryCount_ret"", ""entryLimitActual_ret""]"
440,1,"[null, ""entryLimitActual_ret""]","["" stats dump_arg"", ""slotLimitActual_ret""]"
441,1,"["" freeSlots size_ret"", null, ""static_cast_arg"", ""slotLimitActual_ret""]","["" stats dump_arg"", ""int"", ""int"", ""slotLimitActual_ret""]"
442,1,"["" freeSlots size_ret"", null, ""static_cast_arg"", ""slotLimitActual_ret""]","[""StoreEntry"", null, null, null]"
443,1,"["" freeSlots size_ret"", null, ""static_cast_arg"", ""slotLimitActual_ret""]","[""StoreEntry""]"
444,1,"[""UsingSmp_ret"", ""IamDiskProcess_ret""]",[]
445,1,"["" le anchored_ret""]","[""importEntry_arg""]"
446,1,"[""importEntry_ret""]","[""finalizeOrFree_arg""]"
447,1,"[""debugs_arg"", "" sd map writeableEntry_ret"", null, null]","[""finalizeOrFree_arg""]"
448,1,"[""debugs_arg"", ""loadingEntry_ret"", null, ""debugs_arg""]","[""finalizeOrFree_arg""]"
449,1,"[""sameEntry_ret""]","["" sd map fileNoByKey_ret""]"
450,1,"[""verifyCacheDirs_ret""]","[""char""]"
837,2,"[""fsStats_ret""]","["" Math intPercent_ret"", "" IO statfs_arg"", ""fsStats_arg_ret"", ""fsStats_arg_ret"", ""fsStats_arg_ret""]"
451,1,"[""fsStats_ret""]","["" IO statfs_arg""]"
838,3,"[null, null]","["" IO statfs_arg""]"
452,1,"[""S_ISDIR_ret""]","[""debugs_arg_ret""]"
453,1,"["" stat_ret""]","[""xstrerr_ret"", ""debugs_arg_ret""]"
454,1,"[""file_open_ret""]",[]
455,1,"[""xrename_ret""]","[""xrename_arg_ret"", ""xrename_arg_ret""]"
839,2,"[""file_open_ret""]","[""debugs_arg_ret""]"
456,1,"[""fopen_ret""]","[""debugs_arg_ret""]"
457,1,"[""int"", ""int""]","[""setbuf_arg"", null]"
840,2,"[null, ""int""]","[null, null]"
458,1,"[""int""]","[""setbuf_arg"", null]"
459,1,"[""select_ret""]",[]
841,2,"[""rfc1035AnswersUnpack_ret""]","[""rfc1035AnswersUnpack_ret""]"
460,1,"[""rfc1035AnswersUnpack_arg_ret"", ""rfc1035BuildAQuery_ret""]","[""rfc1035BuildAQuery_ret"", ""rfc1035AnswersUnpack_arg_ret""]"
