sha,message,issue,file_name,old_file,new_file,patch_file
b708f3f029c61e43778b19273857295b59b612a0,"Merge branch 'unity' of ssh://github.com/tqchen/xgboost into unity

Conflicts:
	src/learner/evaluation-inl.hpp",[],src/tree/updater.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_347.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_347.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_347.cpp
e4b9ee22fa6288a829989bfc78feb8041dca8cc2,":Merge branch 'unity'

Conflicts:
	src/gbm/gbtree-inl.hpp
	src/learner/evaluation-inl.hpp
	src/tree/param.h",[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_348.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_348.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_348.cpp
e4b9ee22fa6288a829989bfc78feb8041dca8cc2,":Merge branch 'unity'

Conflicts:
	src/gbm/gbtree-inl.hpp
	src/learner/evaluation-inl.hpp
	src/tree/param.h",[],src/tree/updater.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_349.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_349.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_349.cpp
f62b4a02f967c209f2ff96542e1ad5e61c22a192,"beta version, do a review",[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_350.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_350.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_350.cpp
6daa1c365d2994fa989035e5a36c6a66d880f419,"add cvgrad stats, simplify data",[],src/tree/updater.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_351.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_351.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_351.cpp
4f0b0d2c88ee0c395cd490bb4da3e642b58b4d05,"Merge pull request #43 from tqchen/unity

add changes that are not commited",[],src/learner/dmatrix.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_352.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_352.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_352.cpp
7874c2559b5df196c51233419aeec781c3ee5687,add changes,[],src/learner/dmatrix.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_353.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_353.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_353.cpp
d7c6f8e81a4bb2c43d8742348705e86430e770cc,"Merge pull request #41 from tqchen/unity

Unity",[],src/tree/updater.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_354.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_354.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_354.cpp
ba9fbd380c9ad3024e73ae8b25cd0ac20297883a,templatize refresher,[],src/tree/updater.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_355.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_355.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_355.cpp
cd16a3b1240834e30ca30975341873ba7c19ae07,"Merge pull request #35 from tqchen/unity

ok",[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_356.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_356.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_356.cpp
a656e615715e01810795195e255722bbc3a5cfaf,ok,[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_357.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_357.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_357.cpp
b2b5895634307a2e21dc0af3fe6e000e2b53bddf,"Merge pull request #34 from tqchen/unity

Unity",[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_358.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_358.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_358.cpp
3b12ff51b95b6b07d333243ea59b4dcb7e83781b,seems ok,[],wrapper/xgboost_R.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_359.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_359.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_359.cpp
3ba7995754472554fea8a40beb3cd0f69effa338,finish dump,[],python/xgboost_wrapper_R.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_360.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_360.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_360.cpp
9d210f9bd3a8d0a9d5c0d9419d5462414a6b6c44,ok,[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_361.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_361.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_361.cpp
3acd10e0318adf15c4792574da86be85c276242a,"Merge pull request #31 from tqchen/unity

Change master branch into unity",[],tools/xgcombine_buffer.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_362.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_362.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_362.cpp
104fced9c31eeeb1075b2cea08c4f16f2c993015,ok,[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_363.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_363.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_363.cpp
2ac8cdb873f9abed0b7a33cefc6c0f7070ac0fad,check in linear model,[],src/gbm/gbm.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_364.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_364.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_364.cpp
4ed67b9c27285b4cd8bcf32dc47a5e049aea4ad3,Merge branch 'unity' of ssh://github.com/tqchen/xgboost into unity,[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_365.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_365.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_365.cpp
a45fb2d737a3d1aaa55c1347c1e56b1dae479c37,Merge branch 'unity' of ssh://github.com/tqchen/xgboost into unity,[],src/data.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_366.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_366.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_366.cpp
3f5b5e1fdca40c0c5420545fe08fb182e6f8b2a5,add apratio,[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_367.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_367.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_367.cpp
1fd6ff817f645daef2958f16330921f261b06b38,ok,[],src/data.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_368.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_368.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_368.cpp
91e70c76ffbb6a11e637560e4f88c3eb122d8b42,refresher test,[],src/data.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_369.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_369.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_369.cpp
fdba6e9c46dd348ce1a372e35c123df22b57959c,add pratio,[],src/learner/evaluation.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_370.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_370.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_370.cpp
f757520c02d11984bb54961d313a8ec0bb83ac8a,"add tree refresher, need review",[],src/tree/updater.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_371.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_371.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_371.cpp
0b36c8295dd43173348dc6715720863f156a0078,lack include,[],src/data.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_372.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_372.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_372.cpp
9da2ced8a222d0271ee09cf035ffc06134e9291e,add base_margin,[],src/learner/dmatrix.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_373.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_373.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_373.cpp
0d9a8c042c35e4963cac08964c17d1ddae089b34,make xgcombine buffer work,[],tools/xgcombine_buffer.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_374.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_374.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_374.cpp
5a472145de531692916c2ba937c444fa05bebf0b,check in rank loss,[],src/learner/objective.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_375.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_375.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_375.cpp
9df8bb13973b6f8cd37902dd4c69ff3129e7f647,check in softmax multiclass,[],python/xgboost_wrapper.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_376.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_376.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_376.cpp
9df8bb13973b6f8cd37902dd4c69ff3129e7f647,check in softmax multiclass,[],src/learner/objective.h,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_377.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_377.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_377.cpp
301685e0a431e11fdf05286c95d7394733c651c3,python module pass basic test,[],src/io/io.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_378.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_378.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_378.cpp
